NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;RRAB;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;TX;TXAB;TXMIN;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;TNAB;TNMAX;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;TAMPLIAB;TM;TMMIN;TMMAX
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200001;4.5;2.0;3;0;0;0;0;0;5.9;12.7;-2.6;1;0;0;0;31;31;0;-0.4;-9.5;4.5;3;0;31;31;31;0;0;16;6.3;14.2;2.7;-5.6;8.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200002;46.5;11.0;12;4;1;0;0;0;10.7;17.3;6.5;0;0;0;0;29;29;0;2.2;-3.4;7.7;0;0;29;29;29;0;0;8;8.5;14.7;6.5;1.9;11.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200003;19.5;4.5;7;0;0;0;0;0;13.2;19.5;5.7;0;0;0;0;31;31;0;3.3;-3.1;9.4;0;0;31;31;31;0;0;6;9.9;16.1;8.2;4.0;12.2
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200004;64.5;19.0;8;5;2;0;0;0;16.5;25.3;8.7;0;1;0;0;24;30;0;6.2;-0.3;10.6;0;0;29;30;30;0;0;1;10.3;18.4;11.3;6.8;18.0
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200005;57.5;24.5;7;4;2;0;0;0;22.8;28.9;16.5;0;9;0;0;8;28;0;11.2;3.7;14.3;0;0;9;31;31;0;0;0;11.5;18.3;17.0;12.9;21.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200006;81.0;69.0;2;2;2;1;1;0;25.8;30.9;15.8;0;20;8;0;3;17;0;13.5;7.1;18.8;0;0;3;20;30;0;0;0;12.3;20.6;19.6;13.4;23.5
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200007;82.0;53.0;8;3;2;1;1;0;24.5;33.6;16.7;0;16;4;0;5;23;1;12.8;6.5;17.3;0;0;5;24;31;0;0;0;11.7;18.4;18.7;13.9;25.0
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200008;68.5;29.5;7;5;1;0;0;0;27.7;35.9;19.5;0;20;13;1;2;14;4;15.1;11.1;19.3;0;0;0;13;31;0;0;0;12.6;19.5;21.4;16.9;26.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200009;40.5;19.0;4;2;2;0;0;0;23.5;29.6;15.2;0;10;0;0;4;25;0;11.4;6.6;15.4;0;0;10;29;30;0;0;0;12.0;17.3;17.4;13.6;21.3
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200010;78.0;20.0;10;5;3;0;0;0;16.7;22.5;10.6;0;0;0;0;27;31;0;7.8;2.1;12.4;0;0;27;31;31;0;0;0;8.9;16.3;12.3;8.5;17.4
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200011;93.0;26.0;14;5;3;0;0;0;11.9;17.1;7.9;0;0;0;0;30;30;0;4.1;-1.9;9.2;0;0;30;30;30;0;0;4;7.8;14.7;8.0;4.1;12.5
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200012;31.5;10.5;8;2;2;0;0;0;10.1;16.9;2.8;0;0;0;0;31;31;0;3.5;-2.7;10.9;0;0;29;31;31;0;0;5;6.6;12.0;6.8;0.5;13.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200101;41.5;17.5;7;3;1;0;0;0;8.4;13.9;1.7;0;0;0;0;31;31;0;2.1;-4.6;6.9;0;0;31;31;31;0;0;10;6.4;13.6;5.2;0.0;10.2
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200102;15.5;6.0;5;2;0;0;0;0;9.7;16.5;4.2;0;0;0;0;28;28;0;1.8;-5.4;9.1;1;0;28;28;28;0;0;9;7.9;15.4;5.8;-0.1;12.8
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200103;122.5;17.0;17;11;7;0;0;0;14.9;25.2;7.8;0;1;0;0;29;31;0;6.1;-2.2;11.3;0;0;27;31;31;0;0;2;8.7;16.2;10.5;3.6;17.1
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200104;40.5;7.0;10;4;0;0;0;0;14.0;21.1;7.5;0;0;0;0;27;30;0;5.6;0.8;11.2;0;0;28;30;30;0;0;0;8.4;16.6;9.8;5.1;15.3
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200105;102.0;38.0;11;5;4;1;0;0;22.0;30.8;11.7;0;11;2;0;9;26;0;11.7;7.3;18.2;0;0;10;29;31;0;0;0;10.4;17.0;16.8;10.4;23.1
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200106;53.5;13.0;8;4;3;0;0;0;24.1;32.9;16.7;0;14;3;0;6;22;1;11.7;5.5;17.3;0;0;8;26;30;0;0;0;12.4;19.5;17.9;12.7;24.4
