Périmètre;Nature;Date;Heures;Consommation;;;;
Lille;Données temps réel;20/04/2017;04:00;827;;;;
Lille;Données temps réel;20/04/2017;04:15;825;;;;
Lille;Données temps réel;20/04/2017;04:30;830;;;;
Lille;Données temps réel;20/04/2017;04:45;833;;;;
Lille;Données temps réel;20/04/2017;05:00;846;;;;
Lille;Données temps réel;20/04/2017;05:15;868;;;;
Lille;Données temps réel;20/04/2017;05:30;869;;;;
Lille;Données temps réel;20/04/2017;05:45;887;;;;
Lille;Données temps réel;20/04/2017;06:00;917;;;;
Lille;Données temps réel;20/04/2017;06:15;930;;;;
Lille;Données temps réel;20/04/2017;06:30;931;;;;
Lille;Données temps réel;20/04/2017;06:45;964;;;;
Lille;Données temps réel;20/04/2017;07:00;992;;;;
Lille;Données temps réel;20/04/2017;07:15;1007;;;;
Lille;Données temps réel;20/04/2017;07:30;1015;;;;
Lille;Données temps réel;20/04/2017;07:45;1042;;;;
Lille;Données temps réel;20/04/2017;08:00;1043;;;;
Lille;Données temps réel;20/04/2017;08:15;1057;;;;
Lille;Données temps réel;20/04/2017;08:30;1043;;;;
Lille;Données temps réel;20/04/2017;08:45;1085;;;;
Lille;Données temps réel;20/04/2017;09:00;1057;;;;
Lille;Données temps réel;20/04/2017;09:15;1066;;;;
Lille;Données temps réel;20/04/2017;09:30;1072;;;;
Lille;Données temps réel;20/04/2017;09:45;1086;;;;
Lille;Données temps réel;20/04/2017;10:00;1039;;;;
Lille;Données temps réel;20/04/2017;10:15;1068;;;;
Lille;Données temps réel;20/04/2017;10:30;1043;;;;
Lille;Données temps réel;20/04/2017;10:45;1061;;;;
Lille;Données temps réel;20/04/2017;11:00;1073;;;;
Lille;Données temps réel;20/04/2017;11:15;1058;;;;
Lille;Données temps réel;20/04/2017;11:30;1052;;;;
Lille;Données temps réel;20/04/2017;11:45;1076;;;;
Lille;Données temps réel;20/04/2017;12:00;1079;;;;
Lille;Données temps réel;20/04/2017;12:15;1049;;;;
Lille;Données temps réel;20/04/2017;12:30;1086;;;;
Lille;Données temps réel;20/04/2017;12:45;1122;;;;
Lille;Données temps réel;20/04/2017;13:00;1106;;;;
Lille;Données temps réel;20/04/2017;13:15;1091;;;;
Lille;Données temps réel;20/04/2017;13:30;1047;;;;
Lille;Données temps réel;20/04/2017;13:45;1043;;;;
Lille;Données temps réel;20/04/2017;14:00;1032;;;;
Lille;Données temps réel;20/04/2017;14:15;1042;;;;
Lille;Données temps réel;20/04/2017;14:30;1005;;;;
Lille;Données temps réel;20/04/2017;14:45;974;;;;
Lille;Données temps réel;20/04/2017;15:00;957;;;;
Lille;Données temps réel;20/04/2017;15:15;966;;;;
Lille;Données temps réel;20/04/2017;15:30;947;;;;
Lille;Données temps réel;20/04/2017;15:45;985;;;;
Lille;Données temps réel;20/04/2017;16:00;960;;;;
Lille;Données temps réel;20/04/2017;16:15;935;;;;
Lille;Données temps réel;20/04/2017;16:30;910;;;;
Lille;Données temps réel;20/04/2017;16:45;920;;;;
Lille;Données temps réel;20/04/2017;17:00;924;;;;
Lille;Données temps réel;20/04/2017;17:15;926;;;;
Lille;Données temps réel;20/04/2017;17:30;933;;;;
Lille;Données temps réel;20/04/2017;17:45;930;;;;
