Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;02/01/2021;00:00;1179
Grand Lyon;Données temps réel;02/01/2021;00:15;1171
Grand Lyon;Données temps réel;02/01/2021;00:30;1150
Grand Lyon;Données temps réel;02/01/2021;00:45;1139
Grand Lyon;Données temps réel;02/01/2021;01:00;1119
Grand Lyon;Données temps réel;02/01/2021;01:15;1107
Grand Lyon;Données temps réel;02/01/2021;01:30;1099
Grand Lyon;Données temps réel;02/01/2021;01:45;1089
Grand Lyon;Données temps réel;02/01/2021;02:00;1079
Grand Lyon;Données temps réel;02/01/2021;02:15;1076
Grand Lyon;Données temps réel;02/01/2021;02:30;1059
Grand Lyon;Données temps réel;02/01/2021;02:45;1062
Grand Lyon;Données temps réel;02/01/2021;03:00;1045
Grand Lyon;Données temps réel;02/01/2021;03:15;1052
Grand Lyon;Données temps réel;02/01/2021;03:30;1035
Grand Lyon;Données temps réel;02/01/2021;03:45;1045
Grand Lyon;Données temps réel;02/01/2021;04:00;1031
Grand Lyon;Données temps réel;02/01/2021;04:15;1045
Grand Lyon;Données temps réel;02/01/2021;04:30;1035
Grand Lyon;Données temps réel;02/01/2021;04:45;1044
Grand Lyon;Données temps réel;02/01/2021;05:00;1049
Grand Lyon;Données temps réel;02/01/2021;05:15;1060
Grand Lyon;Données temps réel;02/01/2021;05:30;1055
Grand Lyon;Données temps réel;02/01/2021;05:45;1073
Grand Lyon;Données temps réel;02/01/2021;06:00;1052
Grand Lyon;Données temps réel;02/01/2021;06:15;1056
Grand Lyon;Données temps réel;02/01/2021;06:30;1061
Grand Lyon;Données temps réel;02/01/2021;06:45;1062
Grand Lyon;Données temps réel;02/01/2021;07:00;1082
Grand Lyon;Données temps réel;02/01/2021;07:15;1076
Grand Lyon;Données temps réel;02/01/2021;07:30;1090
Grand Lyon;Données temps réel;02/01/2021;07:45;1096
Grand Lyon;Données temps réel;02/01/2021;08:00;1107
Grand Lyon;Données temps réel;02/01/2021;08:15;1110
Grand Lyon;Données temps réel;02/01/2021;08:30;1107
Grand Lyon;Données temps réel;02/01/2021;08:45;1148
Grand Lyon;Données temps réel;02/01/2021;09:00;1148
Grand Lyon;Données temps réel;02/01/2021;09:15;1165
Grand Lyon;Données temps réel;02/01/2021;09:30;1178
Grand Lyon;Données temps réel;02/01/2021;09:45;1210
Grand Lyon;Données temps réel;02/01/2021;10:00;1219
Grand Lyon;Données temps réel;02/01/2021;10:15;1247
Grand Lyon;Données temps réel;02/01/2021;10:30;1248
Grand Lyon;Données temps réel;02/01/2021;10:45;1254
Grand Lyon;Données temps réel;02/01/2021;11:00;1280
Grand Lyon;Données temps réel;02/01/2021;11:15;1286
Grand Lyon;Données temps réel;02/01/2021;11:30;1298
Grand Lyon;Données temps réel;02/01/2021;11:45;1318
Grand Lyon;Données temps réel;02/01/2021;12:00;1337
Grand Lyon;Données temps réel;02/01/2021;12:15;1355
Grand Lyon;Données temps réel;02/01/2021;12:30;1355
Grand Lyon;Données temps réel;02/01/2021;12:45;1366
Grand Lyon;Données temps réel;02/01/2021;13:00;1356
Grand Lyon;Données temps réel;02/01/2021;13:15;1352
Grand Lyon;Données temps réel;02/01/2021;13:30;1330
Grand Lyon;Données temps réel;02/01/2021;13:45;1320
Grand Lyon;Données temps réel;02/01/2021;14:00;1314
Grand Lyon;Données temps réel;02/01/2021;14:15;1303
Grand Lyon;Données temps réel;02/01/2021;14:30;1289
Grand Lyon;Données temps réel;02/01/2021;14:45;1276
Grand Lyon;Données temps réel;02/01/2021;15:00;1274
Grand Lyon;Données temps réel;02/01/2021;15:15;1281
Grand Lyon;Données temps réel;02/01/2021;15:30;1269
Grand Lyon;Données temps réel;02/01/2021;15:45;1283
Grand Lyon;Données temps réel;02/01/2021;16:00;1277
Grand Lyon;Données temps réel;02/01/2021;16:15;1278
Grand Lyon;Données temps réel;02/01/2021;16:30;1263
Grand Lyon;Données temps réel;02/01/2021;16:45;1282
Grand Lyon;Données temps réel;02/01/2021;17:00;1297
Grand Lyon;Données temps réel;02/01/2021;17:15;1306
Grand Lyon;Données temps réel;02/01/2021;17:30;1327
Grand Lyon;Données temps réel;02/01/2021;17:45;1338
Grand Lyon;Données temps réel;02/01/2021;18:00;1336
Grand Lyon;Données temps réel;02/01/2021;18:15;1349
Grand Lyon;Données temps réel;02/01/2021;18:30;1356
Grand Lyon;Données temps réel;02/01/2021;18:45;1370
Grand Lyon;Données temps réel;02/01/2021;19:00;1369
Grand Lyon;Données temps réel;02/01/2021;19:15;1374
Grand Lyon;Données temps réel;02/01/2021;19:30;1382
Grand Lyon;Données temps réel;02/01/2021;19:45;1370
Grand Lyon;Données temps réel;02/01/2021;20:00;1375
Grand Lyon;Données temps réel;02/01/2021;20:15;1365
Grand Lyon;Données temps réel;02/01/2021;20:30;1336
Grand Lyon;Données temps réel;02/01/2021;20:45;1324
Grand Lyon;Données temps réel;02/01/2021;21:00;1306
Grand Lyon;Données temps réel;02/01/2021;21:15;1291
Grand Lyon;Données temps réel;02/01/2021;21:30;1270
Grand Lyon;Données temps réel;02/01/2021;21:45;1253
Grand Lyon;Données temps réel;02/01/2021;22:00;1260
Grand Lyon;Données temps réel;02/01/2021;22:15;1275
Grand Lyon;Données temps réel;02/01/2021;22:30;1277
Grand Lyon;Données temps réel;02/01/2021;22:45;1332
Grand Lyon;Données temps réel;02/01/2021;23:00;1310
Grand Lyon;Données temps réel;02/01/2021;23:15;1344
Grand Lyon;Données temps réel;02/01/2021;23:30;1309
Grand Lyon;Données temps réel;02/01/2021;23:45;1288
Grand Lyon;Données temps réel;03/01/2021;00:00;1260
Grand Lyon;Données temps réel;03/01/2021;00:15;1251
Grand Lyon;Données temps réel;03/01/2021;00:30;1205
Grand Lyon;Données temps réel;03/01/2021;00:45;1203
Grand Lyon;Données temps réel;03/01/2021;01:00;1179
Grand Lyon;Données temps réel;03/01/2021;01:15;1164
Grand Lyon;Données temps réel;03/01/2021;01:30;1145
Grand Lyon;Données temps réel;03/01/2021;01:45;1147
Grand Lyon;Données temps réel;03/01/2021;02:00;1134
Grand Lyon;Données temps réel;03/01/2021;02:15;1132
Grand Lyon;Données temps réel;03/01/2021;02:30;1118
Grand Lyon;Données temps réel;03/01/2021;02:45;1110
Grand Lyon;Données temps réel;03/01/2021;03:00;1097
Grand Lyon;Données temps réel;03/01/2021;03:15;1093
Grand Lyon;Données temps réel;03/01/2021;03:30;1083
Grand Lyon;Données temps réel;03/01/2021;03:45;1085
Grand Lyon;Données temps réel;03/01/2021;04:00;1083
Grand Lyon;Données temps réel;03/01/2021;04:15;1081
Grand Lyon;Données temps réel;03/01/2021;04:30;1082
Grand Lyon;Données temps réel;03/01/2021;04:45;1080
Grand Lyon;Données temps réel;03/01/2021;05:00;1083
Grand Lyon;Données temps réel;03/01/2021;05:15;1097
Grand Lyon;Données temps réel;03/01/2021;05:30;1087
Grand Lyon;Données temps réel;03/01/2021;05:45;1097
Grand Lyon;Données temps réel;03/01/2021;06:00;1076
Grand Lyon;Données temps réel;03/01/2021;06:15;1073
Grand Lyon;Données temps réel;03/01/2021;06:30;1071
Grand Lyon;Données temps réel;03/01/2021;06:45;1077
Grand Lyon;Données temps réel;03/01/2021;07:00;1082
Grand Lyon;Données temps réel;03/01/2021;07:15;1096
Grand Lyon;Données temps réel;03/01/2021;07:30;1095
Grand Lyon;Données temps réel;03/01/2021;07:45;1111
Grand Lyon;Données temps réel;03/01/2021;08:00;1119
Grand Lyon;Données temps réel;03/01/2021;08:15;1120
Grand Lyon;Données temps réel;03/01/2021;08:30;1121
Grand Lyon;Données temps réel;03/01/2021;08:45;1139
Grand Lyon;Données temps réel;03/01/2021;09:00;1150
Grand Lyon;Données temps réel;03/01/2021;09:15;1164
Grand Lyon;Données temps réel;03/01/2021;09:30;1173
Grand Lyon;Données temps réel;03/01/2021;09:45;1203
Grand Lyon;Données temps réel;03/01/2021;10:00;1227
Grand Lyon;Données temps réel;03/01/2021;10:15;1247
Grand Lyon;Données temps réel;03/01/2021;10:30;1256
Grand Lyon;Données temps réel;03/01/2021;10:45;1289
Grand Lyon;Données temps réel;03/01/2021;11:00;1293
Grand Lyon;Données temps réel;03/01/2021;11:15;1311
Grand Lyon;Données temps réel;03/01/2021;11:30;1319
Grand Lyon;Données temps réel;03/01/2021;11:45;1346
Grand Lyon;Données temps réel;03/01/2021;12:00;1373
Grand Lyon;Données temps réel;03/01/2021;12:15;1384
Grand Lyon;Données temps réel;03/01/2021;12:30;1394
Grand Lyon;Données temps réel;03/01/2021;12:45;1395
Grand Lyon;Données temps réel;03/01/2021;13:00;1376
Grand Lyon;Données temps réel;03/01/2021;13:15;1369
Grand Lyon;Données temps réel;03/01/2021;13:30;1343
Grand Lyon;Données temps réel;03/01/2021;13:45;1330
Grand Lyon;Données temps réel;03/01/2021;14:00;1318
Grand Lyon;Données temps réel;03/01/2021;14:15;1301
Grand Lyon;Données temps réel;03/01/2021;14:30;1279
Grand Lyon;Données temps réel;03/01/2021;14:45;1266
Grand Lyon;Données temps réel;03/01/2021;15:00;1261
Grand Lyon;Données temps réel;03/01/2021;15:15;1275
Grand Lyon;Données temps réel;03/01/2021;15:30;1260
Grand Lyon;Données temps réel;03/01/2021;15:45;1270
Grand Lyon;Données temps réel;03/01/2021;16:00;1277
Grand Lyon;Données temps réel;03/01/2021;16:15;1269
Grand Lyon;Données temps réel;03/01/2021;16:30;1269
Grand Lyon;Données temps réel;03/01/2021;16:45;1274
Grand Lyon;Données temps réel;03/01/2021;17:00;1280
Grand Lyon;Données temps réel;03/01/2021;17:15;1295
Grand Lyon;Données temps réel;03/01/2021;17:30;1324
Grand Lyon;Données temps réel;03/01/2021;17:45;1364
Grand Lyon;Données temps réel;03/01/2021;18:00;1377
Grand Lyon;Données temps réel;03/01/2021;18:15;1393
Grand Lyon;Données temps réel;03/01/2021;18:30;1410
Grand Lyon;Données temps réel;03/01/2021;18:45;1434
Grand Lyon;Données temps réel;03/01/2021;19:00;1453
Grand Lyon;Données temps réel;03/01/2021;19:15;1469
Grand Lyon;Données temps réel;03/01/2021;19:30;1464
