insee	nom	pop1968	pop1975	pop1982	pop1990	pop1999	pop2006	pop2007	pop2008	pop2009	pop2010	pop2011	pop2012	pop2013	pop2014	pop2015	pop2016	pop2017	pop2018	pop2019	pop2020	pop2021	gid
69293	Sathonay-Village	505	675	1050	1401	1693	1849	1870	1891	1905	2148	2208	2267	2326	2326	2332	2346	2360	2374	2369	2409	2423	58
69296	Solaize	1119	1445	1783	2008	2256	2527	2687	2732	2754	2777	2799	2931	2990	2966	2941	2916	2922	2939	2986	3034	3082	59
69381	Lyon 1er Arrondissement	41200	31187	25600	26570	26868	28210	28126	28110	28268	28755	28932	29209	29313	29539	29551	29575	29352	29523	29641	29303	29016	60
69382	Lyon 2e Arrondissement	42900	34416	29324	28602	27977	30276	29875	29726	30519	30103	30575	30958	30804	29999	30436	30435	30520	30733	31303	30318	30485	61
69383	Lyon 3e Arrondissement	88800	74402	65105	70278	82568	88755	90490	92366	95468	96162	97662	98135	98956	99819	101882	101992	101744	102238	102725	101838	101302	62
69384	Lyon 4e Arrondissement	39700	33204	30677	30555	33797	34302	34496	35007	35064	34988	35654	36240	36336	36101	36145	36080	35949	35878	36064	35683	35603	63
69385	Lyon 5e Arrondissement	50400	48735	47372	46071	46985	47330	47012	46754	46821	46738	46698	46693	46630	47302	48182	48929	49409	49755	49664	49546	48711	64
69386	Lyon 6e Arrondissement	68600	52590	48958	47664	48167	49965	49683	48988	49137	49088	48794	49479	50364	50419	50596	51416	51777	52411	52862	52621	52007	65
69387	Lyon 7e Arrondissement	62200	57121	52119	53860	61743	69331	69232	69766	69170	71171	73713	75746	77855	80993	81480	82045	81566	81825	82573	84310	85897	66
69388	Lyon 8e Arrondissement	77100	71222	65773	64763	70317	76323	76303	76343	76782	78793	80809	81454	81531	83619	85229	84517	85088	85170	86154	85980	86326	67
69389	Lyon 9e Arrondissement	56900	53839	48167	47124	47030	47813	47113	47886	48574	48546	48431	48429	48926	48824	49774	50706	50687	51102	51983	52629	52903	68
