MM/AAAA,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Bioénergies,prod
05/2018,28730.0,12770307.0,133935.0,212243.0,6881324.0,179915.0,20206454.0
06/2018,29847.0,12286027.0,123251.0,269152.0,6816996.0,165177.0,19690450.0
07/2018,46119.0,11889220.0,97354.0,294293.0,5228437.0,167414.0,17722837.0
08/2018,120862.0,11576705.0,128852.0,266439.0,4201459.0,159435.0,16453752.0
09/2018,112610.0,12561762.0,114554.0,241692.0,2762674.0,157209.0,15950501.0
10/2018,334087.0,12273292.0,224555.0,170203.0,2518799.0,175650.0,15696586.0
11/2018,646305.0,11844431.0,196184.0,93800.0,3284314.0,191017.0,16256051.0
12/2018,492106.0,16679328.0,240274.0,51410.0,4902317.0,211450.0,22576885.0
01/2019,819918.0,18063152.0,228775.0,77510.0,4532570.0,203536.0,23925461.0
02/2019,520948.0,16307375.0,179103.0,157446.0,4440584.0,180541.0,21785997.0
03/2019,329773.0,14987816.0,281422.0,223742.0,4804368.0,197084.0,20824205.0
04/2019,110386.0,11828424.0,207073.0,228791.0,3974788.0,158213.0,16507675.0
05/2019,88932.0,13076357.0,240074.0,279050.0,5001396.0,186155.0,18871964.0
06/2019,166096.0,13183653.0,140851.0,299998.0,5751142.0,146707.0,19688447.0
07/2019,235038.0,15105197.0,117458.0,330950.0,4583920.0,166678.0,20539241.0
08/2019,142852.0,13884195.0,116522.0,303523.0,3496960.0,176961.0,18121013.0
09/2019,329826.0,13765997.0,151247.0,257314.0,2228456.0,161862.0,16894702.0
10/2019,459213.0,14503418.0,234159.0,160189.0,3676592.0,152298.0,19185869.0
11/2019,674309.0,11942292.0,213651.0,92699.0,5623832.0,185179.0,18731962.0
12/2019,542389.0,14918510.0,275070.0,93716.0,6431931.0,205670.0,22467286.0
01/2020,678679.0,16760424.0,242538.0,102009.0,5261088.0,205981.0,23250719.0
02/2020,465782.0,15287282.0,291133.0,150917.0,5312135.0,183875.0,21691124.0
03/2020,441257.0,12745041.0,191246.0,226163.0,6028942.0,185870.0,19818519.0
04/2020,36201.0,10771728.0,134185.0,284897.0,4664632.0,153598.0,16045241.0
05/2020,64340.0,10772140.0,192805.0,332234.0,5949408.0,172693.0,17483620.0
06/2020,402861.0,9951524.0,130175.0,311406.0,5851877.0,164678.0,16812521.0
07/2020,479749.0,10922463.0,122423.0,371106.0,4797223.0,157880.0,16850844.0
08/2020,420815.0,11331068.0,129635.0,325290.0,3853851.0,144607.0,16205266.0
09/2020,486397.0,12866038.0,133737.0,268606.0,3302040.0,155810.0,17212628.0
10/2020,316964.0,14084964.0,246584.0,153538.0,4536981.0,150464.0,19489495.0
11/2020,633689.0,13499445.0,197306.0,140221.0,3933622.0,192841.0,18597124.0
12/2020,587604.0,15321447.0,283586.0,69316.0,5036139.0,188031.0,21486123.0
01/2021,716118.0,15669238.0,258371.0,74240.0,6023932.0,169122.0,22911021.0
02/2021,557809.0,12670942.0,289633.0,136854.0,5494225.0,159350.0,19308813.0
03/2021,611752.0,14337364.0,256403.0,252528.0,5007485.0,179826.0,20645358.0
04/2021,409188.0,11261621.0,226454.0,325937.0,3396481.0,149080.0,15768761.0
05/2021,67193.0,13110398.0,214604.0,323338.0,5582973.0,166006.0,19464512.0
06/2021,243083.0,12894670.0,183905.0,347327.0,5940369.0,153233.0,19762587.0
07/2021,130801.0,12964023.0,163901.0,343937.0,5678767.0,180658.0,19462087.0
08/2021,22277.0,13226507.0,165658.0,358666.0,4352535.0,173979.0,18299622.0
09/2021,196653.0,12897988.0,128174.0,302547.0,2967807.0,156222.0,16649391.0
10/2021,225365.0,16112218.0,309686.0,252457.0,2714880.0,153369.0,19767975.0
