identifiant;average_measurement;month
69029001;23,3;2015-08
69029001;25,9;2015-07
69029001;21,9;2015-06
69029001;17,1;2015-05
69029001;13,3;2015-04
69029001;8,9;2015-03
69029001;3,7;2015-02
69029001;4,2;2015-01
69029001;5,0;2014-12
69029001;10,3;2014-11
69029001;15,5;2014-10
69029001;18,7;2014-09
69029001;19,7;2014-08
69029001;20,5;2014-07
69029001;21,7;2014-06
69029001;15,4;2014-05
69029001;13,3;2014-04
69029001;9,8;2014-03
69029001;7,6;2014-02
69029001;7,0;2014-01
69029001;4,3;2013-12
69029001;6,5;2013-11
69029001;15,5;2013-10
69029001;18,2;2013-09
69029001;21,7;2013-08
69029001;23,8;2013-07
69029001;18,8;2013-06
69029001;12,8;2013-05
69029001;11,8;2013-04
69029001;7,0;2013-03
69029001;1,5;2013-02
69029001;3,2;2013-01
69029001;5,5;2012-12
69029001;8,8;2012-11
69029001;14,0;2012-10
69029001;17,6;2012-09
69029001;22,7;2012-08
69029001;21,1;2012-07
69029001;20,6;2012-06
69029001;16,9;2012-05
69029001;11,4;2012-04
69029001;10,8;2012-03
69029001;-0,1;2012-02
69029001;4,6;2012-01
69029001;6,4;2011-12
69029001;9,0;2011-11
69029001;13,4;2011-10
69029001;19,1;2011-09
69029001;22,3;2011-08
69029001;19,6;2011-07
69029001;19,6;2011-06
69029001;18,9;2011-05
69029001;15,3;2011-04
69029001;9,2;2011-03
69029001;5,2;2011-02
69029001;3,6;2011-01
69029001;2,7;2010-12
69029001;8,1;2010-11
69029001;12,1;2010-10
69029001;16,4;2010-09
69029001;21,1;2010-08
69029001;23,8;2010-07
69029001;19,5;2010-06
69029001;14,3;2010-05
69029001;13,2;2010-04
69029001;7,5;2010-03
69029001;4,2;2010-02
69029001;0,9;2010-01
69029001;4,9;2009-12
69029001;10,4;2009-11
69029001;12,5;2009-10
69029001;18,0;2009-09
69029001;23,6;2009-08
69029001;23,0;2009-07
69029001;20,2;2009-06
69029001;18,7;2009-05
69029001;13,8;2009-04
69029001;8,1;2009-03
69029001;4,2;2009-02
69029001;1,1;2009-01
69029001;3,3;2008-12
69029001;7,7;2008-11
69029001;12,2;2008-10
69029001;15,5;2008-09
