Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh)
GRDF;2015;Gaz;7381.0;16;0;0.938;1264504.0;460;0;0.996;2308666.0;2155;0;0.999;5856645.0;427031;19;0.241;103795.0;152;29;0.995;69;Rhône;84;Auvergne-Rhône-Alpes;200;9540991.0
GRT Gaz;2015;Gaz;0.0;0;0;0.0;3446575.79;26;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;200;3446575.79
GRT Gaz;2016;Gaz;0.0;0;0;0.0;3569348.99;26;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;200;3569348.99
GRDF;2017;Gaz;8939.0;19;0;0.953;1257983.0;400;0;0.992;2367264.0;1988;0;0.991;6143414.0;427658;19;0.278;224768.0;192;26;0.986;69;Rhône;84;Auvergne-Rhône-Alpes;200;10002368.0
RTE;2019;Electricité;0.0;0;0;0.0;1111135.197;17;0;1.0;175162.689;17;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;100;1286297.886
GRT Gaz;2019;Gaz;0.0;0;0;0.0;3555290.0;22;0;0.0;81479.0;3;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;200;3636769.0
GRDF;2020;Gaz;10357.54404;56;61;0.493;2328475.66279;3085;140;0.491;2242119.55271;17227;31;0.463;4144290.16264;412403;20;0.665;365.2362;3;154;0.00794;69;Rhône;84;Auvergne-Rhône-Alpes;200;8725608.15838
GRT Gaz;2020;Gaz;0.0;0;0;0.0;3062690.0;20;0;0.0;71907.0;3;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;200;3134597.0
Enedis;2021;Electricité;42634.576896017;2192;167;0.799;1575568.80865815;11953;258;0.8;4228578.18620521;148143;14;0.796;3950963.77045428;945474;15;0.808;28571.885684181;4127;419;0.5;69;Rhône;84;Auvergne-Rhône-Alpes;100;9826317.227897838
GRDF;2021;Gaz;12058.33929;64;82;0.492;2761042.68437;3565;135;0.598;2489410.49021;18827;27;0.582;4544539.99494;410327;24;0.801;378.65368;2;136;0.996;69;Rhône;84;Auvergne-Rhône-Alpes;200;9807430.16249
