Périmètre;Nature;Date;Heures;Consommation;;;;;;
Bordeaux;Données temps réel;20/07/2017;13:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;13:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;13:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;13:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;14:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;14:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;14:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;14:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;15:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;15:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;15:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;15:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;16:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;16:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;16:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;16:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;17:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;17:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;17:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;17:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;18:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;18:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;18:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;18:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;19:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;19:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;19:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;19:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;20:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;20:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;20:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;20:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;21:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;21:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;21:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;21:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;22:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;22:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;22:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;22:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;23:00;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;23:15;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;23:30;-;-;-;-;-;-;-
Bordeaux;Données temps réel;20/07/2017;23:45;-;-;-;-;-;-;-
Bordeaux;Données temps réel;21/07/2017;00:00;442;;;;;;
Bordeaux;Données temps réel;21/07/2017;00:15;443;;;;;;
Bordeaux;Données temps réel;21/07/2017;00:30;436;;;;;;
Bordeaux;Données temps réel;21/07/2017;00:45;413;;;;;;
Bordeaux;Données temps réel;21/07/2017;01:00;412;;;;;;
Bordeaux;Données temps réel;21/07/2017;01:15;428;;;;;;
Bordeaux;Données temps réel;21/07/2017;01:30;419;;;;;;
Bordeaux;Données temps réel;21/07/2017;01:45;402;;;;;;
Bordeaux;Données temps réel;21/07/2017;02:00;422;;;;;;
Bordeaux;Données temps réel;21/07/2017;02:15;433;;;;;;
Bordeaux;Données temps réel;21/07/2017;02:30;420;;;;;;
Bordeaux;Données temps réel;21/07/2017;02:45;401;;;;;;
Bordeaux;Données temps réel;21/07/2017;03:00;389;;;;;;
Bordeaux;Données temps réel;21/07/2017;03:15;392;;;;;;
Bordeaux;Données temps réel;21/07/2017;03:30;377;;;;;;
Bordeaux;Données temps réel;21/07/2017;03:45;371;;;;;;
Bordeaux;Données temps réel;21/07/2017;04:00;370;;;;;;
Bordeaux;Données temps réel;21/07/2017;04:15;363;;;;;;
Bordeaux;Données temps réel;21/07/2017;04:30;372;;;;;;
Bordeaux;Données temps réel;21/07/2017;04:45;377;;;;;;
Bordeaux;Données temps réel;21/07/2017;05:00;375;;;;;;
Bordeaux;Données temps réel;21/07/2017;05:15;380;;;;;;
Bordeaux;Données temps réel;21/07/2017;05:30;387;;;;;;
Bordeaux;Données temps réel;21/07/2017;05:45;390;;;;;;
Bordeaux;Données temps réel;21/07/2017;06:00;409;;;;;;
Bordeaux;Données temps réel;21/07/2017;06:15;424;;;;;;
Bordeaux;Données temps réel;21/07/2017;06:30;415;;;;;;
Bordeaux;Données temps réel;21/07/2017;06:45;421;;;;;;
Bordeaux;Données temps réel;21/07/2017;07:00;418;;;;;;
Bordeaux;Données temps réel;21/07/2017;07:15;417;;;;;;
Bordeaux;Données temps réel;21/07/2017;07:30;426;;;;;;
Bordeaux;Données temps réel;21/07/2017;07:45;441;;;;;;
Bordeaux;Données temps réel;21/07/2017;08:00;445;;;;;;
Bordeaux;Données temps réel;21/07/2017;08:15;436;;;;;;
Bordeaux;Données temps réel;21/07/2017;08:30;444;;;;;;
Bordeaux;Données temps réel;21/07/2017;08:45;448;;;;;;
Bordeaux;Données temps réel;21/07/2017;09:00;444;;;;;;
Bordeaux;Données temps réel;21/07/2017;09:15;455;;;;;;
Bordeaux;Données temps réel;21/07/2017;09:30;461;;;;;;
Bordeaux;Données temps réel;21/07/2017;09:45;471;;;;;;
Bordeaux;Données temps réel;21/07/2017;10:00;460;;;;;;
