annee	energie_produite_annuelle_photovoltaique_enedis_mwh	energie_produite_annuelle_hydraulique_enedis_mwh	energie_produite_annuelle_bio_energie_enedis_mwh	energie_produite_annuelle_cogeneration_enedis_mwh	energie_produite_annuelle_autres_filieres_enedis_mwh
2021	601,368	0	0	0	0
2021	784,408	0	0	777,784	0
2021	0	0	0	6751,902	0
2022	714,154	0	0	0	0
2022	1082,77	0	0	477,654	0
2022	0	0	0	6829,293	0
2023	804,545	0	0	0	0
2023	1090,202	0	0	685,577	0
2023	0	0	0	6708,944	0
2015	34,76644801	0	0	0	0
2016	34,73635489	0	0	0	0
2017	34,257	0	0	0	0
2018	36,12345809	0	0	0	0
2019	38,13771472	0	0	0	0
2020	34,1682499	0	0	0	0
2021	39,562	0	0	0	0
2022	39,837	0	0	0	0
2023	37,255	0	0	0	0
2015	81,9982989	0	0	0	0
2016	73,47649743	0	0	0	0
2017	79,157	0	0	0	0
2018	81,61034741	0	0	0	0
2019	95,01245337	0	0	0	0
2020	104,9890381	0	0	0	0
2021	101,339	0	0	0	0
2022	119,502	0	0	0	0
2023	142,785	0	0	0	0
2015	98,95502248	0	0	0	0
2015	76,65161749	0	0	0	0
2016	98,58291305	0	0	0	0
2016	68,19260941	0	0	0	0
2016	0	0	0	1933,594	0
2017	98,161	0	0	0	0
2017	72,182	0	0	0	0
2017	0	0	0	9431,45	5791,426
2018	95,92427443	0	0	0	0
2018	71,78340277	0	0	0	0
2018	0	0	0	9517,106833	0
2019	112,8052675	0	0	0	0
2019	75,489	0	0	0	0
2019	0	0	0	9402,098667	0
2020	127,4804881	0	0	0	0
2020	63,795	0	0	0	0
2020	1910,4515	0	0	9530,662333	0
2021	131,777	0	0	0	0
2021	60,429	0	0	0	0
2021	1924,838	0	0	9353,651	0
2022	150,933	0	0	0	0
2022	66,969	0	0	0	0
2022	2040,544	0	0	9468,532	0
2023	181,039	0	0	0	0
2023	60,846	0	0	0	0
2023	1862,174	0	0	9534,847	0
