"année";"nom territoire";"code insee";"nom commune";"nom réseau";"indicateur";"unités";"valeur"
"2023";"Rhône";"69092";"Gleizé";"Réseau chauffage Centre Hospitalier Villefranche";"production produits pétroliers ";"MWh";0
"2023";"Rhône";"69092";"Gleizé";"Qartier Belleroche Ouest";"production totale";"MWh";3752
"2023";"Rhône";"69092";"Gleizé";"Réseau chauffage Centre Hospitalier Villefranche";"production totale";"MWh";11244,77
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"niveau de rejet en CO2 des réseaux";"MWh";0
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"densité";"MWh";2514,95
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"longueur réseau";"MWh";0,44
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production autres";"MWh";0
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production biogaz";"MWh";0
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production biomasse solide";"MWh";885,26
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production charbon";"MWh";0
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production enr hors bois";"MWh";0
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production gaz naturel";"MWh";0
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production produits pétroliers ";"MWh";221,32
"2023";"Rhône";"69107";"Lamure-sur-Azergues";"Lamure-sur-Azergues";"production totale";"MWh";1106,58
"2023";"Rhône";"69119";"Longes";"Longes";"niveau de rejet en CO2 des réseaux";"MWh";0,02
"2023";"Rhône";"69119";"Longes";"Longes";"densité";"MWh";2432,29
"2023";"Rhône";"69119";"Longes";"Longes";"longueur réseau";"MWh";0,13
"2023";"Rhône";"69119";"Longes";"Longes";"production autres";"MWh";0
"2023";"Rhône";"69119";"Longes";"Longes";"production biogaz";"MWh";0
"2023";"Rhône";"69119";"Longes";"Longes";"production biomasse solide";"MWh";311,32
"2023";"Rhône";"69119";"Longes";"Longes";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69119";"Longes";"Longes";"production charbon";"MWh";0
"2023";"Rhône";"69119";"Longes";"Longes";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69119";"Longes";"Longes";"production enr hors bois";"MWh";0
"2023";"Rhône";"69119";"Longes";"Longes";"production gaz naturel";"MWh";0
"2023";"Rhône";"69119";"Longes";"Longes";"production produits pétroliers ";"MWh";16,02
"2023";"Rhône";"69119";"Longes";"Longes";"production totale";"MWh";327,34
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"niveau de rejet en CO2 des réseaux";"MWh";0,04
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"densité";"MWh";2432,29
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"longueur réseau";"MWh";0,12
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production autres";"MWh";0
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production biogaz";"MWh";0
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production biomasse solide";"MWh";264,02
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production charbon";"MWh";0
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production enr hors bois";"MWh";0
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production gaz naturel";"MWh";0
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production produits pétroliers ";"MWh";31,15
"2023";"Rhône";"69120";"Longessaigne";"Longessaigne";"production totale";"MWh";295,17
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"niveau de rejet en CO2 des réseaux";"MWh";0,04
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"densité";"MWh";2432,29
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"longueur réseau";"MWh";0,47
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production autres";"MWh";0
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production biogaz";"MWh";0
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production biomasse solide";"MWh";1011,36
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production charbon";"MWh";0
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production enr hors bois";"MWh";0
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production gaz naturel";"MWh";0
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production produits pétroliers ";"MWh";124,5
"2023";"Rhône";"69135";"Deux-Grosnes";"Monsols";"production totale";"MWh";1135,86
"2023";"Rhône";"69156";"Pommiers";"Chénas";"niveau de rejet en CO2 des réseaux";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"niveau de rejet en CO2 des réseaux";"MWh";0,03
"2023";"Rhône";"69156";"Pommiers";"Chénas";"densité";"MWh";2432,29
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"densité";"MWh";2432,29
"2023";"Rhône";"69156";"Pommiers";"Chénas";"longueur réseau";"MWh";0,04
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"longueur réseau";"MWh";0,05
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production autres";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production autres";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production biogaz";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production biogaz";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production biomasse solide";"MWh";93
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production biomasse solide";"MWh";102,34
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production charbon";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production charbon";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production enr hors bois";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production enr hors bois";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production gaz naturel";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production gaz naturel";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production produits pétroliers ";"MWh";0
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production produits pétroliers ";"MWh";9,79
"2023";"Rhône";"69156";"Pommiers";"Chénas";"production totale";"MWh";93
"2023";"Rhône";"69156";"Pommiers";"Rontalon";"production totale";"MWh";112,13
"2023";"Rhône";"69169";"Ronno";"Ronno";"niveau de rejet en CO2 des réseaux";"MWh";0,02
"2023";"Rhône";"69169";"Ronno";"Ronno";"densité";"MWh";2432,29
"2023";"Rhône";"69169";"Ronno";"Ronno";"longueur réseau";"MWh";0,1
"2023";"Rhône";"69169";"Ronno";"Ronno";"production autres";"MWh";0
"2023";"Rhône";"69169";"Ronno";"Ronno";"production biogaz";"MWh";0
"2023";"Rhône";"69169";"Ronno";"Ronno";"production biomasse solide";"MWh";216,72
"2023";"Rhône";"69169";"Ronno";"Ronno";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69169";"Ronno";"Ronno";"production charbon";"MWh";0
"2023";"Rhône";"69169";"Ronno";"Ronno";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69169";"Ronno";"Ronno";"production enr hors bois";"MWh";0
"2023";"Rhône";"69169";"Ronno";"Ronno";"production gaz naturel";"MWh";0
"2023";"Rhône";"69169";"Ronno";"Ronno";"production produits pétroliers ";"MWh";15,13
"2023";"Rhône";"69169";"Ronno";"Ronno";"production totale";"MWh";231,85
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"niveau de rejet en CO2 des réseaux";"MWh";0
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"densité";"MWh";2432,29
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"longueur réseau";"MWh";0,37
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production autres";"MWh";0
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production biogaz";"MWh";0
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production biomasse solide";"MWh";909,88
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production charbon";"MWh";0
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69197";"Saint-Étienne-des-Oullières";"Larajasse";"production enr hors bois";"MWh";0
