Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;01/01/2020;00:00;1208
Grand Lyon;Données temps réel;01/01/2020;00:15;1201
Grand Lyon;Données temps réel;01/01/2020;00:30;1175
Grand Lyon;Données temps réel;01/01/2020;00:45;1165
Grand Lyon;Données temps réel;01/01/2020;01:00;1143
Grand Lyon;Données temps réel;01/01/2020;01:15;1131
Grand Lyon;Données temps réel;01/01/2020;01:30;1117
Grand Lyon;Données temps réel;01/01/2020;01:45;1126
Grand Lyon;Données temps réel;01/01/2020;02:00;1108
Grand Lyon;Données temps réel;01/01/2020;02:15;1104
Grand Lyon;Données temps réel;01/01/2020;02:30;1092
Grand Lyon;Données temps réel;01/01/2020;02:45;1091
Grand Lyon;Données temps réel;01/01/2020;03:00;1073
Grand Lyon;Données temps réel;01/01/2020;03:15;1079
Grand Lyon;Données temps réel;01/01/2020;03:30;1064
Grand Lyon;Données temps réel;01/01/2020;03:45;1065
Grand Lyon;Données temps réel;01/01/2020;04:00;1049
Grand Lyon;Données temps réel;01/01/2020;04:15;1053
Grand Lyon;Données temps réel;01/01/2020;04:30;1042
Grand Lyon;Données temps réel;01/01/2020;04:45;1048
Grand Lyon;Données temps réel;01/01/2020;05:00;1049
Grand Lyon;Données temps réel;01/01/2020;05:15;1066
Grand Lyon;Données temps réel;01/01/2020;05:30;1045
Grand Lyon;Données temps réel;01/01/2020;05:45;1054
Grand Lyon;Données temps réel;01/01/2020;06:00;1039
Grand Lyon;Données temps réel;01/01/2020;06:15;1059
Grand Lyon;Données temps réel;01/01/2020;06:30;1054
Grand Lyon;Données temps réel;01/01/2020;06:45;1042
Grand Lyon;Données temps réel;01/01/2020;07:00;1053
Grand Lyon;Données temps réel;01/01/2020;07:15;1050
Grand Lyon;Données temps réel;01/01/2020;07:30;1050
Grand Lyon;Données temps réel;01/01/2020;07:45;1049
Grand Lyon;Données temps réel;01/01/2020;08:00;1055
Grand Lyon;Données temps réel;01/01/2020;08:15;1039
Grand Lyon;Données temps réel;01/01/2020;08:30;1036
Grand Lyon;Données temps réel;01/01/2020;08:45;1039
Grand Lyon;Données temps réel;01/01/2020;09:00;1048
Grand Lyon;Données temps réel;01/01/2020;09:15;1052
Grand Lyon;Données temps réel;01/01/2020;09:30;1066
Grand Lyon;Données temps réel;01/01/2020;09:45;1072
Grand Lyon;Données temps réel;01/01/2020;10:00;1090
Grand Lyon;Données temps réel;01/01/2020;10:15;1093
Grand Lyon;Données temps réel;01/01/2020;10:30;1108
Grand Lyon;Données temps réel;01/01/2020;10:45;1122
Grand Lyon;Données temps réel;01/01/2020;11:00;1139
Grand Lyon;Données temps réel;01/01/2020;11:15;1150
Grand Lyon;Données temps réel;01/01/2020;11:30;1169
Grand Lyon;Données temps réel;01/01/2020;11:45;1181
Grand Lyon;Données temps réel;01/01/2020;12:00;1190
Grand Lyon;Données temps réel;01/01/2020;12:15;1209
Grand Lyon;Données temps réel;01/01/2020;12:30;1213
Grand Lyon;Données temps réel;01/01/2020;12:45;1225
Grand Lyon;Données temps réel;01/01/2020;13:00;1224
Grand Lyon;Données temps réel;01/01/2020;13:15;1219
Grand Lyon;Données temps réel;01/01/2020;13:30;1208
Grand Lyon;Données temps réel;01/01/2020;13:45;1199
Grand Lyon;Données temps réel;01/01/2020;14:00;1194
Grand Lyon;Données temps réel;01/01/2020;14:15;1177
Grand Lyon;Données temps réel;01/01/2020;14:30;1179
Grand Lyon;Données temps réel;01/01/2020;14:45;1167
Grand Lyon;Données temps réel;01/01/2020;15:00;1161
Grand Lyon;Données temps réel;01/01/2020;15:15;1167
Grand Lyon;Données temps réel;01/01/2020;15:30;1164
Grand Lyon;Données temps réel;01/01/2020;15:45;1158
Grand Lyon;Données temps réel;01/01/2020;16:00;1165
Grand Lyon;Données temps réel;01/01/2020;16:15;1161
Grand Lyon;Données temps réel;01/01/2020;16:30;1168
Grand Lyon;Données temps réel;01/01/2020;16:45;1183
Grand Lyon;Données temps réel;01/01/2020;17:00;1188
Grand Lyon;Données temps réel;01/01/2020;17:15;1215
Grand Lyon;Données temps réel;01/01/2020;17:30;1243
Grand Lyon;Données temps réel;01/01/2020;17:45;1246
Grand Lyon;Données temps réel;01/01/2020;18:00;1258
Grand Lyon;Données temps réel;01/01/2020;18:15;1264
Grand Lyon;Données temps réel;01/01/2020;18:30;1276
Grand Lyon;Données temps réel;01/01/2020;18:45;1285
Grand Lyon;Données temps réel;01/01/2020;19:00;1292
Grand Lyon;Données temps réel;01/01/2020;19:15;1288
Grand Lyon;Données temps réel;01/01/2020;19:30;1290
Grand Lyon;Données temps réel;01/01/2020;19:45;1294
Grand Lyon;Données temps réel;01/01/2020;20:00;1292
Grand Lyon;Données temps réel;01/01/2020;20:15;1278
Grand Lyon;Données temps réel;01/01/2020;20:30;1263
Grand Lyon;Données temps réel;01/01/2020;20:45;1256
Grand Lyon;Données temps réel;01/01/2020;21:00;1249
Grand Lyon;Données temps réel;01/01/2020;21:15;1230
Grand Lyon;Données temps réel;01/01/2020;21:30;1214
Grand Lyon;Données temps réel;01/01/2020;21:45;1207
Grand Lyon;Données temps réel;01/01/2020;22:00;1209
Grand Lyon;Données temps réel;01/01/2020;22:15;1218
Grand Lyon;Données temps réel;01/01/2020;22:30;1227
Grand Lyon;Données temps réel;01/01/2020;22:45;1292
Grand Lyon;Données temps réel;01/01/2020;23:00;1279
Grand Lyon;Données temps réel;01/01/2020;23:15;1299
Grand Lyon;Données temps réel;01/01/2020;23:30;1267
Grand Lyon;Données temps réel;01/01/2020;23:45;ND
Grand Lyon;Données temps réel;02/01/2020;00:00;1221
Grand Lyon;Données temps réel;02/01/2020;00:15;1200
Grand Lyon;Données temps réel;02/01/2020;00:30;1160
Grand Lyon;Données temps réel;02/01/2020;00:45;1148
Grand Lyon;Données temps réel;02/01/2020;01:00;1124
Grand Lyon;Données temps réel;02/01/2020;01:15;1116
Grand Lyon;Données temps réel;02/01/2020;01:30;1100
Grand Lyon;Données temps réel;02/01/2020;01:45;1110
Grand Lyon;Données temps réel;02/01/2020;02:00;1100
Grand Lyon;Données temps réel;02/01/2020;02:15;1089
Grand Lyon;Données temps réel;02/01/2020;02:30;1081
Grand Lyon;Données temps réel;02/01/2020;02:45;1085
Grand Lyon;Données temps réel;02/01/2020;03:00;1066
Grand Lyon;Données temps réel;02/01/2020;03:15;1080
Grand Lyon;Données temps réel;02/01/2020;03:30;1064
Grand Lyon;Données temps réel;02/01/2020;03:45;1065
Grand Lyon;Données temps réel;02/01/2020;04:00;1053
Grand Lyon;Données temps réel;02/01/2020;04:15;1068
Grand Lyon;Données temps réel;02/01/2020;04:30;1062
Grand Lyon;Données temps réel;02/01/2020;04:45;1077
Grand Lyon;Données temps réel;02/01/2020;05:00;1072
Grand Lyon;Données temps réel;02/01/2020;05:15;1115
Grand Lyon;Données temps réel;02/01/2020;05:30;1100
Grand Lyon;Données temps réel;02/01/2020;05:45;1136
Grand Lyon;Données temps réel;02/01/2020;06:00;1117
Grand Lyon;Données temps réel;02/01/2020;06:15;1152
Grand Lyon;Données temps réel;02/01/2020;06:30;1174
Grand Lyon;Données temps réel;02/01/2020;06:45;1196
Grand Lyon;Données temps réel;02/01/2020;07:00;1216
Grand Lyon;Données temps réel;02/01/2020;07:15;1239
Grand Lyon;Données temps réel;02/01/2020;07:30;1257
Grand Lyon;Données temps réel;02/01/2020;07:45;1293
Grand Lyon;Données temps réel;02/01/2020;08:00;1315
Grand Lyon;Données temps réel;02/01/2020;08:15;1324
