Périmètre;Nature;Date;Heures;Consommation;;;;
Strasbourg;Données temps réel;26/04/2017;20:15;;;;;
Strasbourg;Données temps réel;26/04/2017;20:30;;;;;
Strasbourg;Données temps réel;26/04/2017;20:45;;;;;
Strasbourg;Données temps réel;26/04/2017;21:00;;;;;
Strasbourg;Données temps réel;26/04/2017;21:15;;;;;
Strasbourg;Données temps réel;26/04/2017;21:30;;;;;
Strasbourg;Données temps réel;26/04/2017;21:45;;;;;
Strasbourg;Données temps réel;26/04/2017;22:00;;;;;
Strasbourg;Données temps réel;26/04/2017;22:15;;;;;
Strasbourg;Données temps réel;26/04/2017;22:30;;;;;
Strasbourg;Données temps réel;26/04/2017;22:45;;;;;
Strasbourg;Données temps réel;26/04/2017;23:00;;;;;
Strasbourg;Données temps réel;26/04/2017;23:15;;;;;
Strasbourg;Données temps réel;26/04/2017;23:30;;;;;
Strasbourg;Données temps réel;26/04/2017;23:45;;;;;
Strasbourg;Données temps réel;21/07/2017;00:00;352;;;;
Strasbourg;Données temps réel;21/07/2017;00:15;352;;;;
Strasbourg;Données temps réel;21/07/2017;00:30;342;;;;
Strasbourg;Données temps réel;21/07/2017;00:45;323;;;;
Strasbourg;Données temps réel;21/07/2017;01:00;331;;;;
Strasbourg;Données temps réel;21/07/2017;01:15;323;;;;
Strasbourg;Données temps réel;21/07/2017;01:30;320;;;;
Strasbourg;Données temps réel;21/07/2017;01:45;306;;;;
Strasbourg;Données temps réel;21/07/2017;02:00;302;;;;
Strasbourg;Données temps réel;21/07/2017;02:15;314;;;;
Strasbourg;Données temps réel;21/07/2017;02:30;309;;;;
Strasbourg;Données temps réel;21/07/2017;02:45;301;;;;
Strasbourg;Données temps réel;21/07/2017;03:00;296;;;;
Strasbourg;Données temps réel;21/07/2017;03:15;297;;;;
Strasbourg;Données temps réel;21/07/2017;03:30;296;;;;
Strasbourg;Données temps réel;21/07/2017;03:45;292;;;;
Strasbourg;Données temps réel;21/07/2017;04:00;296;;;;
Strasbourg;Données temps réel;21/07/2017;04:15;296;;;;
Strasbourg;Données temps réel;21/07/2017;04:30;293;;;;
Strasbourg;Données temps réel;21/07/2017;04:45;294;;;;
Strasbourg;Données temps réel;21/07/2017;05:00;298;;;;
Strasbourg;Données temps réel;21/07/2017;05:15;301;;;;
Strasbourg;Données temps réel;21/07/2017;05:30;299;;;;
Strasbourg;Données temps réel;21/07/2017;05:45;310;;;;
Strasbourg;Données temps réel;21/07/2017;06:00;309;;;;
Strasbourg;Données temps réel;21/07/2017;06:15;312;;;;
Strasbourg;Données temps réel;21/07/2017;06:30;314;;;;
Strasbourg;Données temps réel;21/07/2017;06:45;328;;;;
Strasbourg;Données temps réel;21/07/2017;07:00;341;;;;
Strasbourg;Données temps réel;21/07/2017;07:15;335;;;;
Strasbourg;Données temps réel;21/07/2017;07:30;350;;;;
Strasbourg;Données temps réel;21/07/2017;07:45;355;;;;
Strasbourg;Données temps réel;21/07/2017;08:00;378;;;;
Strasbourg;Données temps réel;21/07/2017;08:15;369;;;;
Strasbourg;Données temps réel;21/07/2017;08:30;383;;;;
Strasbourg;Données temps réel;21/07/2017;08:45;387;;;;
Strasbourg;Données temps réel;21/07/2017;09:00;400;;;;
Strasbourg;Données temps réel;21/07/2017;09:15;403;;;;
Strasbourg;Données temps réel;21/07/2017;09:30;408;;;;
Strasbourg;Données temps réel;21/07/2017;09:45;420;;;;
Strasbourg;Données temps réel;21/07/2017;10:00;430;;;;
Strasbourg;Données temps réel;21/07/2017;10:15;428;;;;
Strasbourg;Données temps réel;21/07/2017;10:30;438;;;;
Strasbourg;Données temps réel;21/07/2017;10:45;439;;;;
Strasbourg;Données temps réel;21/07/2017;11:00;444;;;;
Strasbourg;Données temps réel;21/07/2017;11:15;441;;;;
Strasbourg;Données temps réel;21/07/2017;11:30;456;;;;
Strasbourg;Données temps réel;21/07/2017;11:45;459;;;;
Strasbourg;Données temps réel;21/07/2017;12:00;460;;;;
Strasbourg;Données temps réel;21/07/2017;12:15;471;;;;
Strasbourg;Données temps réel;21/07/2017;12:30;468;;;;
Strasbourg;Données temps réel;21/07/2017;12:45;465;;;;
Strasbourg;Données temps réel;21/07/2017;13:00;467;;;;
Strasbourg;Données temps réel;21/07/2017;13:15;461;;;;
Strasbourg;Données temps réel;21/07/2017;13:30;462;;;;
Strasbourg;Données temps réel;21/07/2017;13:45;469;;;;
Strasbourg;Données temps réel;21/07/2017;14:00;471;;;;
Strasbourg;Données temps réel;21/07/2017;14:15;467;;;;
Strasbourg;Données temps réel;21/07/2017;14:30;465;;;;
Strasbourg;Données temps réel;21/07/2017;14:45;477;;;;
Strasbourg;Données temps réel;21/07/2017;15:00;478;;;;
Strasbourg;Données temps réel;21/07/2017;15:15;460;;;;
Strasbourg;Données temps réel;21/07/2017;15:30;465;;;;
Strasbourg;Données temps réel;21/07/2017;15:45;451;;;;
Strasbourg;Données temps réel;21/07/2017;16:00;457;;;;
Strasbourg;Données temps réel;21/07/2017;16:15;442;;;;
Strasbourg;Données temps réel;21/07/2017;16:30;445;;;;
Strasbourg;Données temps réel;21/07/2017;16:45;425;;;;
Strasbourg;Données temps réel;21/07/2017;17:00;443;;;;
Strasbourg;Données temps réel;21/07/2017;17:15;419;;;;
Strasbourg;Données temps réel;21/07/2017;17:30;432;;;;
Strasbourg;Données temps réel;21/07/2017;17:45;429;;;;
Strasbourg;Données temps réel;21/07/2017;18:00;420;;;;
Strasbourg;Données temps réel;21/07/2017;18:15;420;;;;
Strasbourg;Données temps réel;21/07/2017;18:30;413;;;;
Strasbourg;Données temps réel;21/07/2017;18:45;405;;;;
Strasbourg;Données temps réel;21/07/2017;19:00;407;;;;
Strasbourg;Données temps réel;21/07/2017;19:15;396;;;;
Strasbourg;Données temps réel;21/07/2017;19:30;392;;;;
Strasbourg;Données temps réel;21/07/2017;19:45;376;;;;
Strasbourg;Données temps réel;21/07/2017;20:00;384;;;;
Strasbourg;Données temps réel;21/07/2017;20:15;369;;;;
Strasbourg;Données temps réel;21/07/2017;20:30;375;;;;
Strasbourg;Données temps réel;21/07/2017;20:45;367;;;;
Strasbourg;Données temps réel;21/07/2017;21:00;364;;;;
Strasbourg;Données temps réel;21/07/2017;21:15;349;;;;
Strasbourg;Données temps réel;21/07/2017;21:30;355;;;;
Strasbourg;Données temps réel;21/07/2017;21:45;348;;;;
Strasbourg;Données temps réel;21/07/2017;22:00;334;;;;
Strasbourg;Données temps réel;21/07/2017;22:15;368;;;;
Strasbourg;Données temps réel;21/07/2017;22:30;355;;;;
Strasbourg;Données temps réel;21/07/2017;22:45;351;;;;
Strasbourg;Données temps réel;21/07/2017;23:00;345;;;;
Strasbourg;Données temps réel;21/07/2017;23:15;381;;;;
Strasbourg;Données temps réel;21/07/2017;23:30;374;;;;
Strasbourg;Données temps réel;21/07/2017;23:45;365;;;;
Strasbourg;Données temps réel;22/07/2017;00:00;347;;;;
Strasbourg;Données temps réel;22/07/2017;00:15;349;;;;
Strasbourg;Données temps réel;22/07/2017;00:30;334;;;;
Strasbourg;Données temps réel;22/07/2017;00:45;326;;;;
Strasbourg;Données temps réel;22/07/2017;01:00;327;;;;
Strasbourg;Données temps réel;22/07/2017;01:15;322;;;;
Strasbourg;Données temps réel;22/07/2017;01:30;312;;;;
Strasbourg;Données temps réel;22/07/2017;01:45;298;;;;
Strasbourg;Données temps réel;22/07/2017;02:00;298;;;;
Strasbourg;Données temps réel;22/07/2017;02:15;314;;;;
Strasbourg;Données temps réel;22/07/2017;02:30;309;;;;
Strasbourg;Données temps réel;22/07/2017;02:45;297;;;;
Strasbourg;Données temps réel;22/07/2017;03:00;292;;;;
Strasbourg;Données temps réel;22/07/2017;03:15;295;;;;
Strasbourg;Données temps réel;22/07/2017;03:30;290;;;;
Strasbourg;Données temps réel;22/07/2017;03:45;291;;;;
Strasbourg;Données temps réel;22/07/2017;04:00;287;;;;
Strasbourg;Données temps réel;22/07/2017;04:15;289;;;;
Strasbourg;Données temps réel;22/07/2017;04:30;290;;;;
Strasbourg;Données temps réel;22/07/2017;04:45;288;;;;
Strasbourg;Données temps réel;22/07/2017;05:00;294;;;;
Strasbourg;Données temps réel;22/07/2017;05:15;295;;;;
Strasbourg;Données temps réel;22/07/2017;05:30;295;;;;
Strasbourg;Données temps réel;22/07/2017;05:45;295;;;;
Strasbourg;Données temps réel;22/07/2017;06:00;286;;;;
Strasbourg;Données temps réel;22/07/2017;06:15;295;;;;
Strasbourg;Données temps réel;22/07/2017;06:30;296;;;;
Strasbourg;Données temps réel;22/07/2017;06:45;299;;;;
Strasbourg;Données temps réel;22/07/2017;07:00;302;;;;
Strasbourg;Données temps réel;22/07/2017;07:15;307;;;;
Strasbourg;Données temps réel;22/07/2017;07:30;310;;;;
Strasbourg;Données temps réel;22/07/2017;07:45;311;;;;
Strasbourg;Données temps réel;22/07/2017;08:00;322;;;;
Strasbourg;Données temps réel;22/07/2017;08:15;329;;;;
Strasbourg;Données temps réel;22/07/2017;08:30;341;;;;
Strasbourg;Données temps réel;22/07/2017;08:45;347;;;;
Strasbourg;Données temps réel;22/07/2017;09:00;361;;;;
Strasbourg;Données temps réel;22/07/2017;09:15;363;;;;
Strasbourg;Données temps réel;22/07/2017;09:30;370;;;;
Strasbourg;Données temps réel;22/07/2017;09:45;371;;;;
Strasbourg;Données temps réel;22/07/2017;10:00;386;;;;
Strasbourg;Données temps réel;22/07/2017;10:15;388;;;;
Strasbourg;Données temps réel;22/07/2017;10:30;384;;;;
Strasbourg;Données temps réel;22/07/2017;10:45;397;;;;
Strasbourg;Données temps réel;22/07/2017;11:00;413;;;;
Strasbourg;Données temps réel;22/07/2017;11:15;407;;;;
Strasbourg;Données temps réel;22/07/2017;11:30;412;;;;
Strasbourg;Données temps réel;22/07/2017;11:45;410;;;;
Strasbourg;Données temps réel;22/07/2017;12:00;418;;;;
Strasbourg;Données temps réel;22/07/2017;12:15;409;;;;
Strasbourg;Données temps réel;22/07/2017;12:30;414;;;;
Strasbourg;Données temps réel;22/07/2017;12:45;410;;;;
Strasbourg;Données temps réel;22/07/2017;13:00;412;;;;
Strasbourg;Données temps réel;22/07/2017;13:15;410;;;;
Strasbourg;Données temps réel;22/07/2017;13:30;404;;;;
Strasbourg;Données temps réel;22/07/2017;13:45;406;;;;
Strasbourg;Données temps réel;22/07/2017;14:00;401;;;;
Strasbourg;Données temps réel;22/07/2017;14:15;399;;;;
Strasbourg;Données temps réel;22/07/2017;14:30;400;;;;
Strasbourg;Données temps réel;22/07/2017;14:45;409;;;;
Strasbourg;Données temps réel;22/07/2017;15:00;409;;;;
Strasbourg;Données temps réel;22/07/2017;15:15;398;;;;
Strasbourg;Données temps réel;22/07/2017;15:30;386;;;;
Strasbourg;Données temps réel;22/07/2017;15:45;386;;;;
Strasbourg;Données temps réel;22/07/2017;16:00;381;;;;
Strasbourg;Données temps réel;22/07/2017;16:15;379;;;;
Strasbourg;Données temps réel;22/07/2017;16:30;389;;;;
Strasbourg;Données temps réel;22/07/2017;16:45;381;;;;
Strasbourg;Données temps réel;22/07/2017;17:00;388;;;;
Strasbourg;Données temps réel;22/07/2017;17:15;376;;;;
Strasbourg;Données temps réel;22/07/2017;17:30;381;;;;
Strasbourg;Données temps réel;22/07/2017;17:45;377;;;;
Strasbourg;Données temps réel;22/07/2017;18:00;369;;;;
Strasbourg;Données temps réel;22/07/2017;18:15;366;;;;
Strasbourg;Données temps réel;22/07/2017;18:30;376;;;;
Strasbourg;Données temps réel;22/07/2017;18:45;362;;;;
Strasbourg;Données temps réel;22/07/2017;19:00;363;;;;
Strasbourg;Données temps réel;22/07/2017;19:15;349;;;;
Strasbourg;Données temps réel;22/07/2017;19:30;351;;;;
Strasbourg;Données temps réel;22/07/2017;19:45;345;;;;
Strasbourg;Données temps réel;22/07/2017;20:00;357;;;;
Strasbourg;Données temps réel;22/07/2017;20:15;339;;;;
Strasbourg;Données temps réel;22/07/2017;20:30;336;;;;
Strasbourg;Données temps réel;22/07/2017;20:45;333;;;;
Strasbourg;Données temps réel;22/07/2017;21:00;321;;;;
Strasbourg;Données temps réel;22/07/2017;21:15;320;;;;
Strasbourg;Données temps réel;22/07/2017;21:30;334;;;;
Strasbourg;Données temps réel;22/07/2017;21:45;334;;;;
Strasbourg;Données temps réel;22/07/2017;22:00;326;;;;
Strasbourg;Données temps réel;22/07/2017;22:15;350;;;;
Strasbourg;Données temps réel;22/07/2017;22:30;346;;;;
Strasbourg;Données temps réel;22/07/2017;22:45;339;;;;
Strasbourg;Données temps réel;22/07/2017;23:00;327;;;;
Strasbourg;Données temps réel;22/07/2017;23:15;378;;;;
Strasbourg;Données temps réel;22/07/2017;23:30;365;;;;
Strasbourg;Données temps réel;22/07/2017;23:45;353;;;;
Strasbourg;Données temps réel;23/07/2017;00:00;344;;;;
Strasbourg;Données temps réel;23/07/2017;00:15;331;;;;
Strasbourg;Données temps réel;23/07/2017;00:30;324;;;;
Strasbourg;Données temps réel;23/07/2017;00:45;314;;;;
Strasbourg;Données temps réel;23/07/2017;01:00;317;;;;
Strasbourg;Données temps réel;23/07/2017;01:15;311;;;;
Strasbourg;Données temps réel;23/07/2017;01:30;300;;;;
Strasbourg;Données temps réel;23/07/2017;01:45;297;;;;
Strasbourg;Données temps réel;23/07/2017;02:00;284;;;;
Strasbourg;Données temps réel;23/07/2017;02:15;307;;;;
Strasbourg;Données temps réel;23/07/2017;02:30;306;;;;
Strasbourg;Données temps réel;23/07/2017;02:45;294;;;;
Strasbourg;Données temps réel;23/07/2017;03:00;284;;;;
Strasbourg;Données temps réel;23/07/2017;03:15;282;;;;
Strasbourg;Données temps réel;23/07/2017;03:30;273;;;;
Strasbourg;Données temps réel;23/07/2017;03:45;275;;;;
Strasbourg;Données temps réel;23/07/2017;04:00;269;;;;
Strasbourg;Données temps réel;23/07/2017;04:15;270;;;;
Strasbourg;Données temps réel;23/07/2017;04:30;267;;;;
Strasbourg;Données temps réel;23/07/2017;04:45;264;;;;
Strasbourg;Données temps réel;23/07/2017;05:00;266;;;;
Strasbourg;Données temps réel;23/07/2017;05:15;264;;;;
Strasbourg;Données temps réel;23/07/2017;05:30;266;;;;
Strasbourg;Données temps réel;23/07/2017;05:45;257;;;;
Strasbourg;Données temps réel;23/07/2017;06:00;249;;;;
Strasbourg;Données temps réel;23/07/2017;06:15;249;;;;
Strasbourg;Données temps réel;23/07/2017;06:30;251;;;;
Strasbourg;Données temps réel;23/07/2017;06:45;251;;;;
Strasbourg;Données temps réel;23/07/2017;07:00;253;;;;
Strasbourg;Données temps réel;23/07/2017;07:15;249;;;;
Strasbourg;Données temps réel;23/07/2017;07:30;261;;;;
Strasbourg;Données temps réel;23/07/2017;07:45;258;;;;
Strasbourg;Données temps réel;23/07/2017;08:00;269;;;;
Strasbourg;Données temps réel;23/07/2017;08:15;272;;;;
Strasbourg;Données temps réel;23/07/2017;08:30;274;;;;
Strasbourg;Données temps réel;23/07/2017;08:45;275;;;;
Strasbourg;Données temps réel;23/07/2017;09:00;284;;;;
Strasbourg;Données temps réel;23/07/2017;09:15;286;;;;
Strasbourg;Données temps réel;23/07/2017;09:30;292;;;;
Strasbourg;Données temps réel;23/07/2017;09:45;283;;;;
Strasbourg;Données temps réel;23/07/2017;10:00;291;;;;
Strasbourg;Données temps réel;23/07/2017;10:15;292;;;;
Strasbourg;Données temps réel;23/07/2017;10:30;303;;;;
Strasbourg;Données temps réel;23/07/2017;10:45;302;;;;
Strasbourg;Données temps réel;23/07/2017;11:00;315;;;;
Strasbourg;Données temps réel;23/07/2017;11:15;318;;;;
Strasbourg;Données temps réel;23/07/2017;11:30;324;;;;
Strasbourg;Données temps réel;23/07/2017;11:45;329;;;;
Strasbourg;Données temps réel;23/07/2017;12:00;336;;;;
Strasbourg;Données temps réel;23/07/2017;12:15;325;;;;
Strasbourg;Données temps réel;23/07/2017;12:30;327;;;;
Strasbourg;Données temps réel;23/07/2017;12:45;331;;;;
Strasbourg;Données temps réel;23/07/2017;13:00;338;;;;
Strasbourg;Données temps réel;23/07/2017;13:15;337;;;;
Strasbourg;Données temps réel;23/07/2017;13:30;335;;;;
Strasbourg;Données temps réel;23/07/2017;13:45;328;;;;
Strasbourg;Données temps réel;23/07/2017;14:00;332;;;;
Strasbourg;Données temps réel;23/07/2017;14:15;323;;;;
Strasbourg;Données temps réel;23/07/2017;14:30;315;;;;
Strasbourg;Données temps réel;23/07/2017;14:45;325;;;;
Strasbourg;Données temps réel;23/07/2017;15:00;327;;;;
Strasbourg;Données temps réel;23/07/2017;15:15;315;;;;
Strasbourg;Données temps réel;23/07/2017;15:30;315;;;;
Strasbourg;Données temps réel;23/07/2017;15:45;313;;;;
Strasbourg;Données temps réel;23/07/2017;16:00;312;;;;
Strasbourg;Données temps réel;23/07/2017;16:15;307;;;;
Strasbourg;Données temps réel;23/07/2017;16:30;310;;;;
Strasbourg;Données temps réel;23/07/2017;16:45;297;;;;
Strasbourg;Données temps réel;23/07/2017;17:00;304;;;;
Strasbourg;Données temps réel;23/07/2017;17:15;298;;;;
Strasbourg;Données temps réel;23/07/2017;17:30;298;;;;
