Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;01/01/2024;00:00;1038
Grand Lyon;Données temps réel;01/01/2024;00:15;1033
Grand Lyon;Données temps réel;01/01/2024;00:30;1020
Grand Lyon;Données temps réel;01/01/2024;00:45;996
Grand Lyon;Données temps réel;01/01/2024;01:00;995
Grand Lyon;Données temps réel;01/01/2024;01:15;1005
Grand Lyon;Données temps réel;01/01/2024;01:30;992
Grand Lyon;Données temps réel;01/01/2024;01:45;983
Grand Lyon;Données temps réel;01/01/2024;02:00;979
Grand Lyon;Données temps réel;01/01/2024;02:15;959
Grand Lyon;Données temps réel;01/01/2024;02:30;968
Grand Lyon;Données temps réel;01/01/2024;02:45;953
Grand Lyon;Données temps réel;01/01/2024;03:00;957
Grand Lyon;Données temps réel;01/01/2024;03:15;959
Grand Lyon;Données temps réel;01/01/2024;03:30;941
Grand Lyon;Données temps réel;01/01/2024;03:45;953
Grand Lyon;Données temps réel;01/01/2024;04:00;931
Grand Lyon;Données temps réel;01/01/2024;04:15;941
Grand Lyon;Données temps réel;01/01/2024;04:30;934
Grand Lyon;Données temps réel;01/01/2024;04:45;915
Grand Lyon;Données temps réel;01/01/2024;05:00;921
Grand Lyon;Données temps réel;01/01/2024;05:15;941
Grand Lyon;Données temps réel;01/01/2024;05:30;945
Grand Lyon;Données temps réel;01/01/2024;05:45;951
Grand Lyon;Données temps réel;01/01/2024;06:00;923
Grand Lyon;Données temps réel;01/01/2024;06:15;942
Grand Lyon;Données temps réel;01/01/2024;06:30;932
Grand Lyon;Données temps réel;01/01/2024;06:45;943
Grand Lyon;Données temps réel;01/01/2024;07:00;955
Grand Lyon;Données temps réel;01/01/2024;07:15;961
Grand Lyon;Données temps réel;01/01/2024;07:30;951
Grand Lyon;Données temps réel;01/01/2024;07:45;952
Grand Lyon;Données temps réel;01/01/2024;08:00;955
Grand Lyon;Données temps réel;01/01/2024;08:15;938
Grand Lyon;Données temps réel;01/01/2024;08:30;944
Grand Lyon;Données temps réel;01/01/2024;08:45;946
Grand Lyon;Données temps réel;01/01/2024;09:00;949
Grand Lyon;Données temps réel;01/01/2024;09:15;953
Grand Lyon;Données temps réel;01/01/2024;09:30;958
Grand Lyon;Données temps réel;01/01/2024;09:45;959
Grand Lyon;Données temps réel;01/01/2024;10:00;976
Grand Lyon;Données temps réel;01/01/2024;10:15;974
Grand Lyon;Données temps réel;01/01/2024;10:30;978
Grand Lyon;Données temps réel;01/01/2024;10:45;1009
Grand Lyon;Données temps réel;01/01/2024;11:00;1013
Grand Lyon;Données temps réel;01/01/2024;11:15;1010
Grand Lyon;Données temps réel;01/01/2024;11:30;1000
Grand Lyon;Données temps réel;01/01/2024;11:45;1038
Grand Lyon;Données temps réel;01/01/2024;12:00;1045
Grand Lyon;Données temps réel;01/01/2024;12:15;1031
Grand Lyon;Données temps réel;01/01/2024;12:30;1033
Grand Lyon;Données temps réel;01/01/2024;12:45;1030
Grand Lyon;Données temps réel;01/01/2024;13:00;1030
Grand Lyon;Données temps réel;01/01/2024;13:15;1023
Grand Lyon;Données temps réel;01/01/2024;13:30;994
Grand Lyon;Données temps réel;01/01/2024;13:45;986
Grand Lyon;Données temps réel;01/01/2024;14:00;976
Grand Lyon;Données temps réel;01/01/2024;14:15;969
Grand Lyon;Données temps réel;01/01/2024;14:30;980
Grand Lyon;Données temps réel;01/01/2024;14:45;1001
Grand Lyon;Données temps réel;01/01/2024;15:00;988
Grand Lyon;Données temps réel;01/01/2024;15:15;1005
Grand Lyon;Données temps réel;01/01/2024;15:30;994
Grand Lyon;Données temps réel;01/01/2024;15:45;994
Grand Lyon;Données temps réel;01/01/2024;16:00;991
Grand Lyon;Données temps réel;01/01/2024;16:15;985
Grand Lyon;Données temps réel;01/01/2024;16:30;982
Grand Lyon;Données temps réel;01/01/2024;16:45;998
Grand Lyon;Données temps réel;01/01/2024;17:00;1015
Grand Lyon;Données temps réel;01/01/2024;17:15;1043
Grand Lyon;Données temps réel;01/01/2024;17:30;1072
Grand Lyon;Données temps réel;01/01/2024;17:45;1078
Grand Lyon;Données temps réel;01/01/2024;18:00;1091
Grand Lyon;Données temps réel;01/01/2024;18:15;1113
Grand Lyon;Données temps réel;01/01/2024;18:30;1114
Grand Lyon;Données temps réel;01/01/2024;18:45;1135
Grand Lyon;Données temps réel;01/01/2024;19:00;1135
Grand Lyon;Données temps réel;01/01/2024;19:15;1152
Grand Lyon;Données temps réel;01/01/2024;19:30;1140
Grand Lyon;Données temps réel;01/01/2024;19:45;1143
Grand Lyon;Données temps réel;01/01/2024;20:00;1138
Grand Lyon;Données temps réel;01/01/2024;20:15;1116
Grand Lyon;Données temps réel;01/01/2024;20:30;1114
Grand Lyon;Données temps réel;01/01/2024;20:45;1114
Grand Lyon;Données temps réel;01/01/2024;21:00;1091
Grand Lyon;Données temps réel;01/01/2024;21:15;1079
Grand Lyon;Données temps réel;01/01/2024;21:30;1068
Grand Lyon;Données temps réel;01/01/2024;21:45;1057
Grand Lyon;Données temps réel;01/01/2024;22:00;1060
Grand Lyon;Données temps réel;01/01/2024;22:15;1069
Grand Lyon;Données temps réel;01/01/2024;22:30;1050
Grand Lyon;Données temps réel;01/01/2024;22:45;1116
Grand Lyon;Données temps réel;01/01/2024;23:00;1088
Grand Lyon;Données temps réel;01/01/2024;23:15;1120
Grand Lyon;Données temps réel;01/01/2024;23:30;1086
Grand Lyon;Données temps réel;01/01/2024;23:45;1053
Grand Lyon;Données temps réel;02/01/2024;00:00;1042
Grand Lyon;Données temps réel;02/01/2024;00:15;1022
Grand Lyon;Données temps réel;02/01/2024;00:30;1006
Grand Lyon;Données temps réel;02/01/2024;00:45;995
Grand Lyon;Données temps réel;02/01/2024;01:00;967
Grand Lyon;Données temps réel;02/01/2024;01:15;977
Grand Lyon;Données temps réel;02/01/2024;01:30;955
Grand Lyon;Données temps réel;02/01/2024;01:45;955
Grand Lyon;Données temps réel;02/01/2024;02:00;937
Grand Lyon;Données temps réel;02/01/2024;02:15;942
Grand Lyon;Données temps réel;02/01/2024;02:30;939
Grand Lyon;Données temps réel;02/01/2024;02:45;932
Grand Lyon;Données temps réel;02/01/2024;03:00;921
Grand Lyon;Données temps réel;02/01/2024;03:15;916
Grand Lyon;Données temps réel;02/01/2024;03:30;916
Grand Lyon;Données temps réel;02/01/2024;03:45;915
Grand Lyon;Données temps réel;02/01/2024;04:00;929
Grand Lyon;Données temps réel;02/01/2024;04:15;919
Grand Lyon;Données temps réel;02/01/2024;04:30;916
Grand Lyon;Données temps réel;02/01/2024;04:45;926
Grand Lyon;Données temps réel;02/01/2024;05:00;940
Grand Lyon;Données temps réel;02/01/2024;05:15;961
Grand Lyon;Données temps réel;02/01/2024;05:30;961
Grand Lyon;Données temps réel;02/01/2024;05:45;969
Grand Lyon;Données temps réel;02/01/2024;06:00;966
Grand Lyon;Données temps réel;02/01/2024;06:15;1009
