Mois	Code INSEE région	Région	Production nucléaire (GWh)	Production thermique (GWh)	Production hydraulique (GWh)	Production éolienne (GWh)	Production solaire (GWh)	Production bioénergies (GWh)
2019-04	84	Auvergne-Rhône-Alpes	5920.413	49.19	1941.049	103.56	113.856	77.479
2019-05	84	Auvergne-Rhône-Alpes	6544.07	38.324	2462.83	119.906	138.795	91.615
2019-06	84	Auvergne-Rhône-Alpes	6593.557	77.611	2839.584	70.399	149.342	71.808
2019-07	84	Auvergne-Rhône-Alpes	7556.704	110.656	2272.439	58.769	164.796	81.674
2019-08	84	Auvergne-Rhône-Alpes	6944.553	68.633	1740.301	58.278	151.176	86.061
2019-09	84	Auvergne-Rhône-Alpes	6886.696	157.858	1097.506	75.653	128.228	79.411
2019-10	84	Auvergne-Rhône-Alpes	7262.112	222.017	1808.627	117.304	80.017	74.708
2019-11	84	Auvergne-Rhône-Alpes	5971.597	332.591	2738.075	106.842	46.276	82.844
2019-12	84	Auvergne-Rhône-Alpes	7464.767	269.372	3084.297	137.441	46.699	92.616
2020-01	84	Auvergne-Rhône-Alpes	8382.942	336.513	2548.497	121.308	50.745	92.529
2020-02	84	Auvergne-Rhône-Alpes	7646.852	229.481	2597.002	145.619	75.126	81.95
2020-03	84	Auvergne-Rhône-Alpes	6369.253	218.34	2913.977	95.503	112.563	83.796
2020-04	84	Auvergne-Rhône-Alpes	5387.432	13.909	2279.971	67.142	141.814	76.174
2020-05	84	Auvergne-Rhône-Alpes	5388.745	28.763	2915.612	96.316	165.428	85.58
2020-06	84	Auvergne-Rhône-Alpes	4978.229	197.628	2872.223	65.069	154.947	81.727
2020-07	84	Auvergne-Rhône-Alpes	5463.416	237.683	2367.42	61.334	184.689	78.391
2020-08	84	Auvergne-Rhône-Alpes	5669.207	209.707	1912.359	64.822	161.958	71.774
2020-09	84	Auvergne-Rhône-Alpes	6436.457	242.967	1627.733	66.905	133.676	77.236
2020-10	84	Auvergne-Rhône-Alpes	7053.95	157.918	2225.918	123.532	76.364	74.934
2020-11	84	Auvergne-Rhône-Alpes	6756.107	321.795	1921.199	95.617	69.895	87.614
2020-12	84	Auvergne-Rhône-Alpes	7666.658	299.446	2424.557	140.809	34.572	85.197
2021-01	84	Auvergne-Rhône-Alpes	7838.721	358.419	3023.063	129.269	37.037	83.549
2021-02	84	Auvergne-Rhône-Alpes	6338.572	279.114	2754.821	144.73	68.3	78.761
2021-03	84	Auvergne-Rhône-Alpes	7166.377	306.348	2510.708	128.169	126.148	88.823
2021-04	84	Auvergne-Rhône-Alpes	5635.359	205.094	1701.388	113.133	162.713	73.592
2021-05	84	Auvergne-Rhône-Alpes	6556.92	33.688	2795.597	107.41	161.271	82.003
2021-06	84	Auvergne-Rhône-Alpes	6448.886	121.98	2972.656	91.881	173.32	75.638
2021-07	84	Auvergne-Rhône-Alpes	6483.959	65.479	2843.659	81.958	171.524	89.305
2021-08	84	Auvergne-Rhône-Alpes	6616.768	11.352	2180.189	82.87	179.089	85.996
2021-09	84	Auvergne-Rhône-Alpes	6452.995	98.507	1488.866	63.996	151.002	77.122
2021-10	84	Auvergne-Rhône-Alpes	8070.514	112.925	1365.212	155.132	126.182	75.807
2021-11	84	Auvergne-Rhône-Alpes	7873.126	299.542	1747.64	110.211	66.479	83.501
2021-12	84	Auvergne-Rhône-Alpes	8838.067	346.89	2149.904	141.367	50.144	85.457
2022-01	84	Auvergne-Rhône-Alpes	9021.074	389.346	2455.669	144.035	78.013	85.612
2022-02	84	Auvergne-Rhône-Alpes	7282.008	247.485	1971.777	160.34	113.64	84.854
2022-03	84	Auvergne-Rhône-Alpes	7403.905	264.03	1912.587	131.83	155.326	95.267
2022-04	84	Auvergne-Rhône-Alpes	5990.624	176.069	2082.594	129.546	186.588	79.271
2022-05	84	Auvergne-Rhône-Alpes	5139.355	95.378	2241.458	108.496	250.364	88.58
2022-06	84	Auvergne-Rhône-Alpes	5776.337	182.664	2020.013	92.063	245.284	84.56
2022-07	84	Auvergne-Rhône-Alpes	5535.49	236.69	1699.911	95.01	288.298	85.397
2022-08	84	Auvergne-Rhône-Alpes	5035.187	247.02	1268.794	78.029	253.474	84.543
2022-09	84	Auvergne-Rhône-Alpes	4504.051	227.62	1107.076	96.743	199.935	83.636
2022-10	84	Auvergne-Rhône-Alpes	4551.846	153.695	1406.923	133.034	144.902	74.99
2022-11	84	Auvergne-Rhône-Alpes	5261.011	290.783	1949.073	137.221	85.894	82.26
2022-12	84	Auvergne-Rhône-Alpes	7621.233	333.942	2448.986	130.471	41.69	83.734
2023-01	84	Auvergne-Rhône-Alpes	9197.037	257.316	2787.302	154.252	55.063	80.424
2023-02	84	Auvergne-Rhône-Alpes	8698.068	309.698	1694.798	101.385	133.493	76.697
2023-03	84	Auvergne-Rhône-Alpes	8286.273	236.799	1844.101	155.688	182.536	79.783
2023-04	84	Auvergne-Rhône-Alpes	7971.684	100.169	1944.045	125.122	225.721	77.788
2023-05	84	Auvergne-Rhône-Alpes	6732.218	85.753	2547.997	108.935	256.648	88.885
2023-06	84	Auvergne-Rhône-Alpes	5550.482	8.921	2896.488	71.284	293.576	86.205
2023-07	84	Auvergne-Rhône-Alpes	5938.008	8.598	2193.141	84.1	307.701	92.551
2023-08	84	Auvergne-Rhône-Alpes	5138.006	6.277	1858.074	105.132	292.646	84.18
2023-09	84	Auvergne-Rhône-Alpes	6115.443	8.287	1538.804	76.013	262.113	81.518
2023-10	84	Auvergne-Rhône-Alpes	6224.893	40.757	1623.767	146.691	186.033	73.575
2023-11	84	Auvergne-Rhône-Alpes	6241.468	131.367	2771.89	175.652	94.995	84.955
2023-12	84	Auvergne-Rhône-Alpes	7513.789	212.878	2989.153	174.656	75.882	85.201
