Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;01/01/2019;00:00;1133
Grand Lyon;Données temps réel;01/01/2019;00:15;1108
Grand Lyon;Données temps réel;01/01/2019;00:30;1075
Grand Lyon;Données temps réel;01/01/2019;00:45;1054
Grand Lyon;Données temps réel;01/01/2019;01:00;1050
Grand Lyon;Données temps réel;01/01/2019;01:15;1030
Grand Lyon;Données temps réel;01/01/2019;01:30;1016
Grand Lyon;Données temps réel;01/01/2019;01:45;1008
Grand Lyon;Données temps réel;01/01/2019;02:00;1000
Grand Lyon;Données temps réel;01/01/2019;02:15;998
Grand Lyon;Données temps réel;01/01/2019;02:30;974
Grand Lyon;Données temps réel;01/01/2019;02:45;967
Grand Lyon;Données temps réel;01/01/2019;03:00;967
Grand Lyon;Données temps réel;01/01/2019;03:15;960
Grand Lyon;Données temps réel;01/01/2019;03:30;948
Grand Lyon;Données temps réel;01/01/2019;03:45;940
Grand Lyon;Données temps réel;01/01/2019;04:00;936
Grand Lyon;Données temps réel;01/01/2019;04:15;930
Grand Lyon;Données temps réel;01/01/2019;04:30;929
Grand Lyon;Données temps réel;01/01/2019;04:45;929
Grand Lyon;Données temps réel;01/01/2019;05:00;932
Grand Lyon;Données temps réel;01/01/2019;05:15;946
Grand Lyon;Données temps réel;01/01/2019;05:30;944
Grand Lyon;Données temps réel;01/01/2019;05:45;949
Grand Lyon;Données temps réel;01/01/2019;06:00;934
Grand Lyon;Données temps réel;01/01/2019;06:15;950
Grand Lyon;Données temps réel;01/01/2019;06:30;945
Grand Lyon;Données temps réel;01/01/2019;06:45;935
Grand Lyon;Données temps réel;01/01/2019;07:00;935
Grand Lyon;Données temps réel;01/01/2019;07:15;949
Grand Lyon;Données temps réel;01/01/2019;07:30;945
Grand Lyon;Données temps réel;01/01/2019;07:45;944
Grand Lyon;Données temps réel;01/01/2019;08:00;953
Grand Lyon;Données temps réel;01/01/2019;08:15;928
Grand Lyon;Données temps réel;01/01/2019;08:30;934
Grand Lyon;Données temps réel;01/01/2019;08:45;945
Grand Lyon;Données temps réel;01/01/2019;09:00;932
Grand Lyon;Données temps réel;01/01/2019;09:15;949
Grand Lyon;Données temps réel;01/01/2019;09:30;950
Grand Lyon;Données temps réel;01/01/2019;09:45;965
Grand Lyon;Données temps réel;01/01/2019;10:00;977
Grand Lyon;Données temps réel;01/01/2019;10:15;992
Grand Lyon;Données temps réel;01/01/2019;10:30;1010
Grand Lyon;Données temps réel;01/01/2019;10:45;1023
Grand Lyon;Données temps réel;01/01/2019;11:00;1029
Grand Lyon;Données temps réel;01/01/2019;11:15;1047
Grand Lyon;Données temps réel;01/01/2019;11:30;1058
Grand Lyon;Données temps réel;01/01/2019;11:45;1080
Grand Lyon;Données temps réel;01/01/2019;12:00;1085
Grand Lyon;Données temps réel;01/01/2019;12:15;1092
Grand Lyon;Données temps réel;01/01/2019;12:30;1104
Grand Lyon;Données temps réel;01/01/2019;12:45;1115
Grand Lyon;Données temps réel;01/01/2019;13:00;1117
Grand Lyon;Données temps réel;01/01/2019;13:15;1114
Grand Lyon;Données temps réel;01/01/2019;13:30;1100
Grand Lyon;Données temps réel;01/01/2019;13:45;1094
Grand Lyon;Données temps réel;01/01/2019;14:00;1094
Grand Lyon;Données temps réel;01/01/2019;14:15;1095
Grand Lyon;Données temps réel;01/01/2019;14:30;1085
Grand Lyon;Données temps réel;01/01/2019;14:45;1084
Grand Lyon;Données temps réel;01/01/2019;15:00;1073
Grand Lyon;Données temps réel;01/01/2019;15:15;1084
Grand Lyon;Données temps réel;01/01/2019;15:30;1075
Grand Lyon;Données temps réel;01/01/2019;15:45;1075
Grand Lyon;Données temps réel;01/01/2019;16:00;1081
Grand Lyon;Données temps réel;01/01/2019;16:15;1084
Grand Lyon;Données temps réel;01/01/2019;16:30;1076
Grand Lyon;Données temps réel;01/01/2019;16:45;1090
Grand Lyon;Données temps réel;01/01/2019;17:00;1095
Grand Lyon;Données temps réel;01/01/2019;17:15;1110
Grand Lyon;Données temps réel;01/01/2019;17:30;1157
Grand Lyon;Données temps réel;01/01/2019;17:45;1160
Grand Lyon;Données temps réel;01/01/2019;18:00;1168
Grand Lyon;Données temps réel;01/01/2019;18:15;1181
