Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;01/01/2022;00:00;1042
Grand Lyon;Données temps réel;01/01/2022;00:15;1048
Grand Lyon;Données temps réel;01/01/2022;00:30;1021
Grand Lyon;Données temps réel;01/01/2022;00:45;1005
Grand Lyon;Données temps réel;01/01/2022;01:00;986
Grand Lyon;Données temps réel;01/01/2022;01:15;990
Grand Lyon;Données temps réel;01/01/2022;01:30;975
Grand Lyon;Données temps réel;01/01/2022;01:45;976
Grand Lyon;Données temps réel;01/01/2022;02:00;969
Grand Lyon;Données temps réel;01/01/2022;02:15;965
Grand Lyon;Données temps réel;01/01/2022;02:30;949
Grand Lyon;Données temps réel;01/01/2022;02:45;943
Grand Lyon;Données temps réel;01/01/2022;03:00;939
Grand Lyon;Données temps réel;01/01/2022;03:15;939
Grand Lyon;Données temps réel;01/01/2022;03:30;921
Grand Lyon;Données temps réel;01/01/2022;03:45;927
Grand Lyon;Données temps réel;01/01/2022;04:00;915
Grand Lyon;Données temps réel;01/01/2022;04:15;929
Grand Lyon;Données temps réel;01/01/2022;04:30;903
Grand Lyon;Données temps réel;01/01/2022;04:45;914
Grand Lyon;Données temps réel;01/01/2022;05:00;910
Grand Lyon;Données temps réel;01/01/2022;05:15;914
Grand Lyon;Données temps réel;01/01/2022;05:30;910
Grand Lyon;Données temps réel;01/01/2022;05:45;913
Grand Lyon;Données temps réel;01/01/2022;06:00;898
Grand Lyon;Données temps réel;01/01/2022;06:15;904
Grand Lyon;Données temps réel;01/01/2022;06:30;911
Grand Lyon;Données temps réel;01/01/2022;06:45;905
Grand Lyon;Données temps réel;01/01/2022;07:00;916
Grand Lyon;Données temps réel;01/01/2022;07:15;916
Grand Lyon;Données temps réel;01/01/2022;07:30;916
Grand Lyon;Données temps réel;01/01/2022;07:45;935
Grand Lyon;Données temps réel;01/01/2022;08:00;932
Grand Lyon;Données temps réel;01/01/2022;08:15;922
Grand Lyon;Données temps réel;01/01/2022;08:30;915
Grand Lyon;Données temps réel;01/01/2022;08:45;924
Grand Lyon;Données temps réel;01/01/2022;09:00;923
Grand Lyon;Données temps réel;01/01/2022;09:15;943
Grand Lyon;Données temps réel;01/01/2022;09:30;956
Grand Lyon;Données temps réel;01/01/2022;09:45;951
Grand Lyon;Données temps réel;01/01/2022;10:00;966
Grand Lyon;Données temps réel;01/01/2022;10:15;972
Grand Lyon;Données temps réel;01/01/2022;10:30;986
Grand Lyon;Données temps réel;01/01/2022;10:45;995
Grand Lyon;Données temps réel;01/01/2022;11:00;1005
Grand Lyon;Données temps réel;01/01/2022;11:15;1017
Grand Lyon;Données temps réel;01/01/2022;11:30;1019
Grand Lyon;Données temps réel;01/01/2022;11:45;1027
Grand Lyon;Données temps réel;01/01/2022;12:00;1030
Grand Lyon;Données temps réel;01/01/2022;12:15;1054
Grand Lyon;Données temps réel;01/01/2022;12:30;1045
Grand Lyon;Données temps réel;01/01/2022;12:45;1048
Grand Lyon;Données temps réel;01/01/2022;13:00;1039
Grand Lyon;Données temps réel;01/01/2022;13:15;1032
Grand Lyon;Données temps réel;01/01/2022;13:30;1018
Grand Lyon;Données temps réel;01/01/2022;13:45;1005
Grand Lyon;Données temps réel;01/01/2022;14:00;989
Grand Lyon;Données temps réel;01/01/2022;14:15;975
Grand Lyon;Données temps réel;01/01/2022;14:30;964
Grand Lyon;Données temps réel;01/01/2022;14:45;958
Grand Lyon;Données temps réel;01/01/2022;15:00;945
Grand Lyon;Données temps réel;01/01/2022;15:15;951
Grand Lyon;Données temps réel;01/01/2022;15:30;941
Grand Lyon;Données temps réel;01/01/2022;15:45;938
Grand Lyon;Données temps réel;01/01/2022;16:00;934
Grand Lyon;Données temps réel;01/01/2022;16:15;930
Grand Lyon;Données temps réel;01/01/2022;16:30;930
Grand Lyon;Données temps réel;01/01/2022;16:45;946
Grand Lyon;Données temps réel;01/01/2022;17:00;956
Grand Lyon;Données temps réel;01/01/2022;17:15;981
Grand Lyon;Données temps réel;01/01/2022;17:30;1012
Grand Lyon;Données temps réel;01/01/2022;17:45;1047
Grand Lyon;Données temps réel;01/01/2022;18:00;1039
Grand Lyon;Données temps réel;01/01/2022;18:15;1065
Grand Lyon;Données temps réel;01/01/2022;18:30;1084
Grand Lyon;Données temps réel;01/01/2022;18:45;1087
Grand Lyon;Données temps réel;01/01/2022;19:00;1094
Grand Lyon;Données temps réel;01/01/2022;19:15;1106
Grand Lyon;Données temps réel;01/01/2022;19:30;1106
Grand Lyon;Données temps réel;01/01/2022;19:45;1120
Grand Lyon;Données temps réel;01/01/2022;20:00;1117
Grand Lyon;Données temps réel;01/01/2022;20:15;1103
Grand Lyon;Données temps réel;01/01/2022;20:30;1100
Grand Lyon;Données temps réel;01/01/2022;20:45;1099
Grand Lyon;Données temps réel;01/01/2022;21:00;1075
