Date;Code INSEE département;Département;TMin (°C);TMax (°C);TMoy (°C)
2019-03-14;69;Rhône;5.75;9.25;7.5
2022-06-19;69;Rhône;24.45;35.5;29.98
2020-04-28;69;Rhône;12.15;17.55;14.85
2022-06-20;69;Rhône;21.1;34.95;28.02
2019-03-18;69;Rhône;3.9;10.05;6.98
2022-06-24;69;Rhône;16.2;24.1;20.15
2020-05-05;69;Rhône;17.85;26.2;22.02
2022-06-26;69;Rhône;16.25;24.2;20.23
2019-03-25;69;Rhône;8.05;13.7;10.88
2020-05-09;69;Rhône;14.3;25.9;20.1
2020-05-11;69;Rhône;9.95;21.4;15.68
2020-12-04;69;Rhône;2.55;7.3;4.92
2022-07-02;69;Rhône;12.25;29.15;20.7
2018-10-04;69;Rhône;12.55;19.4;15.98
2022-07-04;69;Rhône;18.15;27.15;22.65
2022-07-05;69;Rhône;17.0;27.4;22.2
2020-05-16;69;Rhône;9.85;20.55;15.2
2020-05-17;69;Rhône;10.8;21.9;16.35
2021-03-30;69;Rhône;7.85;24.5;16.18
2022-07-13;69;Rhône;15.7;32.8;24.25
2022-07-14;69;Rhône;17.75;35.6;26.68
2019-07-14;69;Rhône;15.65;27.4;21.52
2021-04-03;69;Rhône;4.75;14.15;9.45
2021-04-04;69;Rhône;2.7;15.9;9.3
2018-10-16;69;Rhône;12.9;24.75;18.83
2021-04-05;69;Rhône;2.75;18.45;10.6
2018-10-19;69;Rhône;9.6;21.85;15.72
2022-07-25;69;Rhône;22.3;35.5;28.9
2021-04-13;69;Rhône;1.0;12.45;6.72
2019-07-24;69;Rhône;25.0;39.9;32.45
2018-10-24;69;Rhône;6.55;18.0;12.27
2019-07-27;69;Rhône;18.9;26.9;22.9
2018-10-27;69;Rhône;6.75;8.85;7.8
2018-10-28;69;Rhône;5.3;8.65;6.98
2019-07-28;69;Rhône;16.1;24.35;20.23
2022-02-02;69;Rhône;2.9;11.15;7.02
2022-02-04;69;Rhône;1.7;10.75;6.22
2019-08-05;69;Rhône;18.8;34.6;26.7
2018-11-06;69;Rhône;9.2;14.0;11.6
2021-04-26;69;Rhône;12.0;17.0;14.5
2019-08-07;69;Rhône;17.75;28.25;23.0
2019-08-09;69;Rhône;22.15;34.45;28.3
2022-02-13;69;Rhône;2.6;12.75;7.68
2019-08-10;69;Rhône;17.4;27.35;22.38
2021-05-01;69;Rhône;8.0;9.95;8.98
2022-02-16;69;Rhône;4.7;9.6;7.15
2019-08-17;69;Rhône;15.25;33.1;24.18
2018-11-20;69;Rhône;0.8;6.75;3.78
2018-11-21;69;Rhône;4.25;7.05;5.65
2021-05-10;69;Rhône;12.4;16.4;14.4
2019-07-13;69;Rhône;18.5;27.35;22.92
2022-02-25;69;Rhône;3.5;9.65;6.58
2018-11-24;69;Rhône;2.65;13.85;8.25
2021-05-13;69;Rhône;9.65;17.05;13.35
2019-07-16;69;Rhône;15.75;29.9;22.82
2019-07-17;69;Rhône;16.1;30.7;23.4
2019-07-19;69;Rhône;17.05;31.75;24.4
2018-11-29;69;Rhône;4.1;15.3;9.7
2018-12-01;69;Rhône;5.65;8.7;7.18
2019-08-30;69;Rhône;18.25;30.3;24.28
2021-05-21;69;Rhône;11.95;18.2;15.08
2019-07-25;69;Rhône;24.8;38.6;31.7
2019-09-04;69;Rhône;11.45;28.05;19.75
2018-12-07;69;Rhône;9.25;15.1;12.18
2019-09-08;69;Rhône;10.25;18.35;14.3
2021-05-31;69;Rhône;11.15;27.1;19.12
2021-06-01;69;Rhône;15.2;26.2;20.7
2019-09-12;69;Rhône;9.95;26.8;18.38
2018-12-13;69;Rhône;-2.9;0.05;-1.42
2019-04-28;69;Rhône;7.9;11.7;9.8
2021-06-02;69;Rhône;15.2;21.6;18.4
2022-03-18;69;Rhône;8.0;11.65;9.82
2021-06-03;69;Rhône;16.05;27.85;21.95
2022-03-20;69;Rhône;5.45;14.8;10.12
2022-03-22;69;Rhône;3.2;16.35;9.77
2021-06-07;69;Rhône;16.0;22.65;19.33
2022-03-25;69;Rhône;3.5;19.9;11.7
2019-05-06;69;Rhône;3.25;14.6;8.93
2022-03-27;69;Rhône;4.4;21.45;12.92
2021-06-13;69;Rhône;18.25;28.85;23.55
2022-03-31;69;Rhône;8.4;12.55;10.48
2019-09-26;69;Rhône;15.4;25.2;20.3
2019-05-12;69;Rhône;8.45;16.45;12.45
2019-08-19;69;Rhône;16.95;18.9;17.92
2019-08-21;69;Rhône;12.45;22.45;17.45
2019-05-14;69;Rhône;7.15;19.45;13.3
2019-05-17;69;Rhône;10.8;15.75;13.28
2019-10-02;69;Rhône;13.4;18.9;16.15
2019-10-05;69;Rhône;13.05;19.0;16.02
2019-05-22;69;Rhône;10.6;22.1;16.35
2019-08-28;69;Rhône;19.7;31.55;25.62
2022-04-15;69;Rhône;10.6;22.9;16.75
2019-05-23;69;Rhône;8.65;23.85;16.25
2022-04-16;69;Rhône;11.05;21.75;16.4
2021-06-28;69;Rhône;17.85;21.85;19.85
2019-08-31;69;Rhône;18.4;33.9;26.15
2022-04-18;69;Rhône;4.75;20.2;12.48
2022-04-20;69;Rhône;6.05;21.2;13.62
2019-10-14;69;Rhône;17.5;25.6;21.55
2019-09-05;69;Rhône;14.65;20.6;17.62
2019-09-06;69;Rhône;11.7;20.35;16.02
2019-10-17;69;Rhône;13.2;19.45;16.32
2019-09-07;69;Rhône;12.15;22.4;17.27
2019-06-05;69;Rhône;17.25;29.95;23.6
2022-04-28;69;Rhône;6.5;22.55;14.52
2020-02-13;69;Rhône;0.1;11.35;5.72
2019-06-08;69;Rhône;10.7;23.45;17.08
2018-12-16;69;Rhône;1.65;6.65;4.15
2020-02-16;69;Rhône;9.8;14.75;12.28
2020-02-17;69;Rhône;8.0;13.75;10.88
2022-05-07;69;Rhône;11.05;22.95;17.0
2019-09-20;69;Rhône;9.3;28.5;18.9
2019-09-23;69;Rhône;13.2;21.5;17.35
2020-02-28;69;Rhône;-0.3;13.1;6.4
2019-06-23;69;Rhône;14.85;29.75;22.3
2020-02-05;69;Rhône;4.45;9.45;6.95
2018-12-15;69;Rhône;-0.65;4.05;1.7
2019-01-01;69;Rhône;6.0;6.85;6.43
2019-06-26;69;Rhône;21.45;36.45;28.95
2019-06-27;69;Rhône;21.45;37.75;29.6
2020-02-09;69;Rhône;5.7;13.0;9.35
2018-12-18;69;Rhône;-1.05;11.35;5.15
2019-01-04;69;Rhône;-0.7;5.15;2.22
2019-10-01;69;Rhône;11.2;26.9;19.05
2018-09-02;69;Rhône;12.05;24.4;18.23
2019-06-29;69;Rhône;20.85;37.4;29.12
